date,stock_001,stock_002,stock_003,stock_004,stock_005,stock_006,stock_007,stock_008,stock_009,stock_010,stock_011,stock_012,stock_013,stock_014,stock_015,stock_016,stock_017,stock_018,stock_019,stock_020,stock_021,stock_022,stock_023,stock_024,stock_025,stock_026,stock_027,stock_028,stock_029,stock_030,stock_031,stock_032,stock_033,stock_034,stock_035,stock_036,stock_037,stock_038,stock_039,stock_040,stock_041,stock_042,stock_043,stock_044,stock_045,stock_046,stock_047,stock_048,stock_049,stock_050
2020-01-01,1294128877.9562554,1763257234.4671032,2399213209.2408295,3908717844.8986707,1101023084.8422399,5268242559.175082,1026987739.5763836,5063635605.611456,2301778752.980147,2747515967.6301956,2557767500.9841614,4116021785.8489704,3632394942.6980205,3545302623.21335,2403989370.43237,91884939.50731377,2793868559.439691,967997476.0104235,2644454879.9014673,3257279201.820854,2882963255.635033,813054827.026429,1796812293.5361288,2895614480.8981347,2506517270.0888267,1319309884.7899027,64054283.48850293,6981604339.831226,4060428036.6260176,215419091.77211577,1906312187.6124458,7921604025.821929,4870143110.579547,6890396394.035324,2796595836.747637,2637471343.676481,8405557995.5386095,5186260906.914809,209277890.7101279,9151450932.984962,5535999864.392117,5134791565.455557,2159811007.95571,3213430628.6781116,5298293429.855506,498101979.28710705,1686985643.2959268,1631901242.0279703,4785240063.381932,6842460762.597197
2020-01-02,1174021711.647429,1609719682.8542733,827115551.2065457,1709929265.542138,3285548409.105094,4846292774.541717,3758194765.7469006,262652945.3941468,1508703092.2690332,2567473887.7099047,3096105008.3760457,4973632120.022378,8010691445.053977,554895506.0613267,865575519.0228457,5031183664.28591,2990681158.2317467,2844378991.2358665,1858935665.754986,5834902802.846815,665835230.0012808,95769503.16653043,1806942315.891979,2477264988.6732607,963085496.4821361,1105151067.388154,1480285340.8871589,3835181620.185063,6758355912.674418,6420479990.9563875,1948290607.3821127,6463346038.071576,1732852383.7065535,5520287590.435801,2217666405.944594,169694316.03912005,6036158919.341439,1948209648.1206238,3835947855.096438,7942109520.210136,691406203.5535456,970977079.1012545,6834361352.4898405,1003672038.4669901,4327623790.249267,4057224381.9523973,1359090527.6070368,2733139713.3750844,481213501.182468,2448022351.371898
2020-01-03,1134739263.567026,2447399769.17623,398777356.75511384,6167316534.029005,1407323310.5962849,1477282334.53977,819756086.9847834,9556248812.254244,1383906360.7371638,3388616473.2070465,710349692.8095155,3641853914.8201547,1639335631.2749546,4772786737.184363,4160611854.25531,472676617.75256646,4445207375.370693,2380635381.9374223,5555617232.520437,5669598768.537017,3352517111.182444,2617499201.2810574,113966063.90605846,5817713360.171304,533758490.53232104,295011887.8592053,4909491765.398375,159412463.73155376,5715750060.513953,897171009.8360415,1416761993.7006474,3040602448.3685584,473795520.79410386,2753319004.6621275,1822509923.3562043,28708006.05698324,606457919.4742007,853844847.8092723,4275910158.2311454,1305501876.8798537,4536360713.551055,5591069495.43127,1683321585.5261106,2544837337.8278537,3369562939.4795103,1749280874.0188508,2127296951.5628684,1154795571.8483965,1342206187.415754,2050423911.2727768
2020-01-04,6567623492.066167,813705885.2598064,3257195895.2893343,2258262577.2021275,2053740016.1542416,200272272.11830804,925249554.1990594,7451364947.09954,1804378152.8066125,487855686.2887616,784956484.9732181,1122345474.484264,7098466436.901859,638170594.9894075,43391302.25698107,588024230.1542765,4821044261.562048,6781769493.015109,7778008663.156176,1506334584.3547146,1306624251.529459,1140058356.6033807,3606190711.010484,604271031.4792893,314327271.4987418,1447827328.4913316,2060939710.38562,2946498210.494845,712169902.6428457,1793411589.906662,807503628.8888108,812041521.9529372,878613007.0917455,1992668638.2538948,8549734176.694192,2014100499.498004,1607700919.1328187,4162593460.047507,1493761895.8958967,7567449713.179577,1233084731.6127133,117013560.88754977,442046054.5694553,1069396091.3164642,5054155629.380718,2360518967.3627634,2429109171.8316517,3624091924.412259,961056435.0806224,3178315896.946385
2020-01-05,1071356134.9206185,2297749922.4953856,4325549887.763037,7336347875.9901085,2059955716.7308156,5108805527.282792,1469629240.2104867,7238176834.416189,1552302226.8310592,2180945752.0067706,1558288060.7157593,3192256508.875476,1435330244.4787736,1536349205.542564,3171060724.2559137,58356682.659060165,3221621680.3606563,289248394.2921919,1215327657.6004694,3356704009.728674,4109294194.6273723,4190943286.2944455,292732552.51586586,3008955361.5497875,4890643287.352911,5215399394.164874,2428510970.341251,1146238795.21333,7038103963.655921,1481845688.9368389,952892193.0555562,4648366103.339615,340673895.7233104,1721565007.688913,1320528579.2388196,1714817863.9664075,640371049.3139362,5409917820.783212,1335286300.9342918,2150911961.9812236,4855729438.867296,9575022671.576656,2716290469.8889627,1900211573.380018,1049399597.1654899,4353669947.058994,693906530.342733,2608897568.7395844,6674353800.004928,3590304696.995561
2020-01-06,1168999676.7952783,8443804916.634766,574304395.8415816,1539747377.7772808,8242992649.70395,3374663924.813412,2825557319.2040033,1511850126.141114,811266464.3903118,9969437147.25888,3211599496.7381887,4149010195.8422594,993118499.6397148,1506794738.60856,3564979918.6781936,1153426364.8122666,4717523672.351416,2022459028.8013768,6635255530.873034,3190846241.3112,4049483951.702193,1015315093.4764733,737346983.1271845,7238311994.708286,376460303.9002759,4689061699.156809,2366763026.8038025,1959527535.0520194,8805055729.824398,2967587845.6906805,6857784125.118975,2240782602.2030745,4766939368.440282,2646711833.4797697,4548555633.909882,3503360002.250049,4832045269.0045,869874935.1349978,625138287.93715,2823361422.3750386,807463445.498339,4246518047.548339,141436269.01319522,2180638288.855633,3713287330.5323906,523701729.5311837,1617539529.3538687,4263418040.4647675,4753555461.520922,546695206.260097
2020-01-07,4813572354.685481,4061724617.0720077,2383145085.054259,2441938071.4563055,6062230366.248272,167398197.4080477,477994275.2815988,3809860221.5303445,3489338737.5074058,3485406077.35266,3181172405.155358,1980048375.7252266,1089729571.3172257,2209433033.736141,743677953.2636223,176868276.41685593,507941406.23074895,2661234697.882669,2317663583.753004,4913152501.049474,4956078504.3429575,4542328179.836553,2380758214.496209,4051919613.166663,5480802100.022904,3102172065.816985,6844930873.051555,202928627.81133175,654506385.9781978,1789669687.3458433,2916840167.6379404,4000430223.2546053,1323538079.8934598,1704044484.2237213,1476255096.470409,1940758896.5849497,2019219330.7982757,1310537663.1040938,732914225.1996858,1907529404.043844,7614976315.847747,6363364618.078066,2867370409.019166,1161732880.3751981,2475967318.238419,308168470.75662816,3319520553.751206,4077444453.650327,1578069558.0793796,4033298461.2475543
2020-01-08,1818891394.1508377,1229928634.8695683,4844071310.136387,1189722790.4127162,3471793898.999299,7212013496.062526,3100923942.5486135,3534669866.991382,509693049.5812092,430933725.1174433,2253230809.9691334,5960323640.050435,1783132618.422335,2327150977.7570543,5947345193.344245,1134796297.6352508,1948625363.2178755,4082997358.331166,6843766185.088897,6589430649.449551,2380754039.3557043,7299299959.184116,2639180409.470696,7352460756.004749,879509761.9217662,3394545284.3688893,742895896.5012847,1286317571.9355123,5072296489.755457,3797425851.9581165,1945777167.7691991,4073524659.1965384,3839074404.561908,7919800830.70837,5610667081.044593,906932199.1507125,3872619235.2281504,2145894909.417465,765545737.793921,2661670587.5470767,4145391674.043876,2951697607.2269235,3018763379.895656,1154482143.6624284,957957598.2556149,2667736184.359034,5962053297.276531,936632800.8949865,427796952.0895591,962840937.2451136
2020-01-09,3613327370.575962,1496650295.3264298,6788286579.151037,1116011926.0805442,179569991.901191,2674923835.7487926,229103816.71343353,1847592010.4304893,7428158359.385223,1674385453.8621836,4927466590.653467,5061249993.303004,3146431264.016186,360121830.0731644,7336980267.769277,3971349317.6331997,577214813.9653169,2598280568.9084,6833584268.838809,480238444.7473627,2715235400.2851534,2431731453.260785,1948528989.8017123,1371384610.161762,2838273390.138925,292457403.9569898,181747550.63317356,2499953116.806903,1826455763.9817822,918145945.4054389,2884640975.512561,5549720933.860968,826794350.7654141,667417073.6434348,2409022918.724415,565546688.1155016,410185877.19846004,1613149377.9460933,791804294.4107786,280210999.149614,4252039149.122459,176141068.79672736,3952698640.034653,1502093627.3711135,1216989053.656495,1102275247.5732017,3038138839.019985,1212490738.2788851,2255790326.2345853,2295402866.288248
2020-01-10,2139403651.6995516,4262068697.56171,1725708668.094334,5200508015.81116,978001601.727904,2903050926.4120183,297690152.5116521,1948551460.550594,3215220423.2289715,923677778.3737624,1122875417.2652736,1753436685.4361398,351181315.8697575,899331111.524075,7667820407.399003,4250870903.3519163,7340312954.250126,2643100140.274456,928759857.6596829,6614029921.604612,736093882.5830555,3511633929.304471,1576924540.7242181,985895652.5869782,3788312023.2649527,505280534.58807564,8523515853.680884,4376403640.830074,1395725757.7944493,6228894092.258722,263886660.9138229,2397726799.6384974,4522360644.4994,5469695819.239425,4048593563.97234,177618779.02981758,3842339606.136277,273572478.26718986,6345277630.509568,2613391451.251476,5319263660.373377,9758624948.795046,185351873.9474683,3822464629.05785,1857765427.955937,1086086265.7904155,428914912.1766966,4022482644.030513,389156695.54977024,2547767898.921698
