date,stock_001,stock_002,stock_003,stock_004,stock_005,stock_006,stock_007,stock_008,stock_009,stock_010,stock_011,stock_012,stock_013,stock_014,stock_015,stock_016,stock_017,stock_018,stock_019,stock_020,stock_021,stock_022,stock_023,stock_024,stock_025,stock_026,stock_027,stock_028,stock_029,stock_030,stock_031,stock_032,stock_033,stock_034,stock_035,stock_036,stock_037,stock_038,stock_039,stock_040,stock_041,stock_042,stock_043,stock_044,stock_045,stock_046,stock_047,stock_048,stock_049,stock_050
2020-01-01,26746341,75840789,73133678,72850687,14422008,84141336,54521240,55870646,35548603,65802492,45849121,92179299,43537414,93776205,86162461,3048182,36686235,25569555,60057070,60670865,56076183,10927170,39098824,30502556,71406477,36158913,4506446,91474656,94284539,5605928,25595682,88990602,74395734,74589969,29770031,66201302,94106049,81351070,5967127,95272222,60317758,97407582,34293063,70843223,62282711,21383184,67111413,66035322,48762946,88310214
2020-01-02,72036531,49575793,23008694,87852371,52932242,55377219,48725084,2898160,30291124,85655542,52843872,57407226,91642447,5788196,12998207,84308891,59713808,84757844,19324970,80675543,7838749,5592097,23121321,53366017,66073167,17914446,14777251,38968905,91341906,87119897,20799887,90339053,42703575,63202203,43270533,2628678,94937160,56888163,56104095,95391745,36957560,14032611,68544175,9752554,67140965,85023414,51396642,97698147,17203661,33729294
2020-01-03,15680329,44785588,4052712,73974036,17213374,85528932,55703851,93893172,77943188,38852003,33946988,97881094,38767370,59465759,58342698,38320519,80614846,59360077,96280365,62087838,35761846,91177073,3024409,73842551,15253633,26312964,64648430,3100205,57442272,9665833,14689763,70967607,21156022,90268725,44710089,1316490,16731423,25771399,44209409,30588589,77343929,71548929,80618270,50552068,42905088,19525835,59471701,38255439,45715272,22895192
2020-01-04,90088201,22312285,49243738,30551506,67504110,4396295,48576556,92243225,36722321,17056235,15627818,14593696,71081381,25157001,1843680,16019569,53303866,98426655,77290392,22732643,20594246,23197488,38424609,34248439,9207503,22438580,59466530,35725541,30732994,19834811,8010139,17693920,13907619,43471763,97375861,54788321,25118418,78282146,97879558,99089620,31325220,1701924,29445735,36941359,59750396,60540751,26212420,64576778,56765291,93544350
2020-01-05,37701607,92769778,55587448,88028593,94990884,89228158,20509716,86750312,31654222,63846720,22427927,99812832,18296378,84870432,53438761,1158610,33604109,18597344,50182305,35663125,51582681,60955124,23267062,55526997,85698502,90273045,79759333,61569517,71275540,34857306,65610748,79719750,8919492,20680891,52337670,40753146,38520637,87564383,23737999,53738259,62875146,92671823,77473713,26549456,10861150,85021863,30493526,76378252,65699094,64676595
2020-01-06,96465263,83943920,7684221,27496047,86429968,39394183,41905889,22371623,11625821,99916359,37204684,44881633,12790014,18045025,39178650,44412537,93377904,73926660,86139495,45484082,72065351,19963418,18611921,96141482,5765554,52866659,36504603,32505246,99629059,73493963,81483053,37559361,48625131,66272769,67094335,79639944,63516435,45811447,55279838,32131425,46243141,74483131,1587021,61986517,36956554,36279122,97426601,55288748,84884841,42271765
2020-01-07,76430822,75746957,35544627,39284599,92149025,16258925,39528969,51429844,38756668,45043542,87152284,49903631,12927738,70031755,13375445,5821674,43553899,29920593,43783516,93939927,95001799,46878174,99595132,49105999,94028666,48510870,93355398,12401554,16336357,74198904,97694817,70301275,38492298,58788012,70459643,28175290,94041149,14296206,9085584,93884369,83401809,88808518,69931364,16756000,85720519,3126359,44340265,97968294,38141197,69433414
2020-01-08,50082456,19098888,64734975,15365961,42313975,86469704,36462184,80068301,8493039,19340703,58707709,76451970,20980966,63233128,77256516,31228491,27553387,89320562,88721390,74281500,27420904,72652881,99133064,85727903,80779208,70097120,23106030,66805477,90640305,48589857,94414696,54782705,47114457,86534433,66955837,44116554,56931771,93451670,39420838,39915478,75005897,53038186,64098617,51370113,12806290,37777072,98310991,16541489,15360198,13457093
2020-01-09,78219884,74994472,89080499,51473674,2480988,44253626,6297710,42267954,94615720,83206192,82995763,66144954,77575858,24674199,80715951,51989603,44762416,78271948,80832925,5913995,52318969,77585023,89437423,22185535,89435825,4722935,9557644,26438264,38431994,39596985,42117302,65796265,43054102,38879644,52442942,9514366,22368208,26792116,34414075,3702076,90201895,5231783,45871652,20374380,19446867,21655056,57070836,24553202,65101003,53249167
2020-01-10,77843984,57453669,18773373,63898399,92636149,32814133,3741206,21359572,54421384,26630778,11846158,26408541,24200632,37161310,79388262,52341296,99598748,52951823,13960858,75774962,11645170,45073013,94170636,86425721,64789839,27592838,96815065,99585911,21434731,80649640,8941858,73322477,60645166,74955324,55149591,2928606,66845933,3269930,75617312,94057967,96985404,97944422,9290179,97987126,23354237,50438792,6903059,46849260,28350961,77096547
2020-01-11,8181013,6474560,84157802,39220135,52311063,72453323,71219023,29035563,94336482,70903638,7009988,45008281,41192057,91605653,2145773,60368435,43284240,50791808,36798236,71703901,80072307,65135221,5244422,18039838,31341442,23978884,71471242,78423735,38127074,7732104,54667640,80785844,14032478,76801753,69702658,67515092,91166298,34666971,33974545,78349690,85154182,67502079,59289568,30197266,65561315,95759055,93165799,41429280,38701181,15757325
2020-01-12,44013885,90338936,84538162,55755154,41943453,17454926,91144879,35346696,86436897,50736061,82248679,86051915,39823766,63833183,44927040,98491216,60555128,51754460,89499058,14295544,41572087,41774157,87823634,40039293,25826303,54024156,21796466,95256410,33680094,75694673,4315070,42550163,58578126,61297398,66688004,17272042,20688259,46660485,93662720,28069995,26242801,14401111,87123160,55097080,86142366,50423661,34014685,13962791,91342528,38746462
2020-01-13,88777700,88342425,90669929,23608110,38627333,26696877,62159451,48762418,84643534,25113697,26848083,52608641,84377785,83733711,49084443,50188687,17912856,86040556,46878151,22657763,70342736,13175684,62190786,6643326,55230606,66120770,95448917,67934022,3665303,86300883,27232914,76302109,28927890,40201098,82705524,89749208,53146449,22251335,88207527,94165579,48822536,24613643,73745492,79937323,14702294,74754910,72260820,88585081,91703754,17698671
2020-01-14,67151352,74964207,1605022,15140952,95603740,78898837,57681853,5876886,95847628,40456232,87459935,80345124,60804483,44082969,83055166,43154039,9786830,54177573,61114898,58518158,53908226,70828809,49626303,7092198,13018697,95620564,20278100,14015705,81518624,33858178,10456000,23916862,32052758,48087506,1729564,84557083,3661722,10338939,44398328,34395493,10492066,81188427,66868404,18159674,88235223,4383003,41807935,35456891,30924856,47396170
2020-01-15,13139314,28031767,73057318,4988254,58824505,12050920,41927530,65221043,66258861,23524403,44267687,38526068,42358009,51293897,83351740,14701107,40075122,82978964,47244760,99923184,35124558,64796340,37200247,10949333,53778375,11419402,33083062,36672513,4825757,22332126,66894649,79001910,39561041,84198888,74104917,16518745,94546629,21039404,80710323,76262936,73396792,74000032,28055258,38415849,40721352,63112345,12242163,91908700,58864715,38547390
2020-01-16,82693532,56887491,95190917,34178574,8575604,74078820,49983532,60200628,9706406,90988439,68314154,85948523,83556458,16627156,54178572,20206184,32177055,69999979,61255817,55374983,8638596,72341633,22797603,43631619,26912554,86135533,72272746,62711688,31672118,95004249,38715149,1690722,90649850,84807282,29110075,79576922,42415329,53762658,55837770,20245313,54180408,26634083,63773466,33020710,90461705,78610490,90321620,83832790,69040100,86054723
2020-01-17,83472698,8205592,38452410,92218303,72940764,4845566,72762776,52399005,16638772,13420767,21490482,17220395,12500312,63421112,31155592,36416182,91848489,60284313,71626082,90515569,4506403,67941277,1510292,60144706,77524470,92635765,11848226,25964565,99417314,20451169,77371510,77715265,48543301,80437113,90488540,77596698,6675932,75250698,44924746,25798140,22345358,77608298,68882794,32787740,10188036,38334905,91424129,9142766,66902981,46487968
2020-01-18,1614139,35951086,30363000,52930077,48402952,81321402,65989997,18345283,4908686,23680316,90050756,43434944,12928701,35342021,27808849,1073572,69881387,66501206,4092184,1466704,89417440,7922935,93686423,51668931,67119368,3595435,20437192,30316950,5904539,47765051,96332208,77766557,57551506,88904972,94469242,62673511,59767632,76080474,64695425,91692182,50457558,90387846,4314637,45727009,62908731,60054636,29616931,36531599,69720581,17760352
2020-01-19,63073279,53763548,17080911,20095724,2852435,76889110,51482585,66087933,18491471,88664022,53157815,59803783,32786851,82753197,27449351,96681861,41450534,55493225,81377920,7358816,33689574,45443736,22293307,46626803,51490496,70562254,52946646,25053403,90891404,49695340,2742543,71588149,92235319,47800242,31042041,55047312,95400449,80328244,36404104,38962542,43067381,4505761,81852827,42001664,31147168,62458318,60213866,67376389,89155285,41137975
2020-01-20,33289399,70545033,66616180,21711346,37638891,94438907,90475489,77477526,7488131,89883958,17580553,79371028,84070913,98807154,92748286,46445108,76842904,85339439,96081282,88137463,31765675,72136940,98408595,96701026,18249816,38763414,12591672,38511034,76908850,64599576,87209714,26469568,3569705,47373753,32551528,35116889,8123589,3836716,81475327,93444568,96693058,65075014,51947090,3370668,98692943,96520632,28310206,14758034,20968730,65381477
2020-01-21,3257331,87274323,19445307,9389206,85730923,84790315,43449164,45267472,80538491,39193214,90347894,78763073,94256192,24186904,56047454,92477154,13876465,89748140,55239424,25701293,84128193,91467306,95970504,78172013,11732240,43148959,31090347,51953383,30458625,37709770,10728673,39406146,40758670,32502554,71356280,3952028,60728137,66643890,64712851,5258193,10875135,91047889,62010055,96456084,54300095,87657929,33154984,94510726,26931954,28831561
2020-01-22,27482474,15573707,6854012,88788185,46834831,67030280,3269106,27729310,48400850,5041197,49134647,83166662,77052983,2159816,59074097,31019589,42435150,60029110,85057889,10509359,50386144,42821227,33650981,45876841,75491766,18242021,58054275,24605484,76600550,25634360,88925294,39420895,20218406,95719654,38836064,77272500,5230391,40465040,31530669,50773475,77178994,91836540,8029130,20106584,11162446,21294538,72703684,74032147,33090735,80765249
2020-01-23,74953084,71026081,29838005,37754007,89834696,60886887,54089609,57200987,76738682,60055150,90083211,39163082,12220712,46634899,68187711,37727290,61764636,35360033,77302512,74088547,20438786,85706510,83647425,47228231,58945675,88837300,75056879,42737882,28017815,6634584,44630805,50003773,26261107,30594115,2983297,75568950,56372498,69282490,33444367,27041345,46680049,83531009,66642211,83857770,45182593,69418921,81103000,11463007,43905593,73374997
2020-01-24,24446083,54386133,38652104,93527257,27084558,76948863,2041608,73503871,41983949,79327214,1976326,55008861,46159190,35658063,20766448,94296742,42840674,62649236,86885356,37306341,18729045,23798151,31767474,89422441,17106298,58596076,75804444,12357481,59654467,75542317,92816523,47894250,70693559,73777403,45215320,14173578,3364001,36764180,75067239,38759945,96002183,23178020,43934663,15948734,83980397,20714869,35417700,13770903,84860537,98453899
2020-01-25,36547827,72939247,11060591,2138714,78811484,8239065,26659008,87268885,68459616,70919990,62333695,20091189,52673453,74148672,16223533,20115890,52269170,75353545,99242784,34105240,24002469,37719734,43830880,18670904,58605461,23648034,5321437,38387063,98874060,36887418,9737027,88950937,18426927,41289582,88305801,18864218,53718442,5473598,87558505,66949933,52924941,47006063,71177254,50929927,1195657,32053712,70468341,52730936,97478649,34953323
2020-01-26,31630092,44017518,49072215,80932740,89412822,81190624,30830291,70248070,98925180,30366367,78825793,32544409,3365375,82132255,45824717,79646924,72532313,60056823,77613881,27678257,4194945,12522343,75034755,19547688,19086131,83427041,94748876,71435087,33824278,3107606,66773901,40176902,80312663,18550157,74296450,2477497,41687254,69734431,32035798,69808262,42948799,53060693,30971812,89344964,77172018,38708218,7127916,36211428,71507021,16923659
2020-01-27,5592091,33256818,62817501,85663381,6501467,98938477,46192021,6190542,57764634,87822337,71380892,18614933,46963646,33092828,19125987,32028576,70463380,18531720,95453497,22322879,63441826,93399865,18425615,63014053,23289823,74440093,47840585,34527449,47997507,81465765,43645542,86367163,57479232,27781276,92233824,74082726,53566153,70801873,97904038,78363752,92054128,34088455,93072764,17065689,67898463,64634153,90362555,55270378,15824631,31279169
2020-01-28,50411944,95340602,32740973,5871269,77152115,65830286,69999601,38495629,75279457,28912710,79789551,19426875,76980138,89438347,67613380,31349468,17587597,69904366,75169023,81852497,80962357,92009588,68647706,88197932,31249253,75746694,21117337,11695404,44939536,26377375,58637153,18450872,38961902,94704478,39238855,78692990,43701673,59294182,36890403,2526824,15437047,86789396,46128757,22201363,38299892,62304862,67505385,37019313,43707227,73378645
2020-01-29,25873004,10624085,17992151,78187701,7650084,30957662,25642909,71186144,41320159,83149854,24596266,72436985,49108388,65330254,21746502,84389894,46908586,33741506,18595184,70394616,17935613,51338143,1532736,31360150,40008519,15615702,31017880,32799888,62010287,64511719,56863572,68593704,80763246,92939318,2096812,87680340,98109930,4692569,91885525,86429170,10717819,7595513,51190138,11727173,52014658,55890582,51250170,81736047,90016982,10142514
2020-01-30,86339800,89412069,28219869,62324170,23163613,33895280,33079156,14113417,41928476,82529830,55967127,70965444,9795896,17067306,35483449,37875968,38046583,52623990,7799779,32625009,25639427,23679393,63402442,4863254,36261910,32157786,48385909,2225162,91452999,86203747,2426235,28711839,84890771,62438358,23696036,47213803,65540314,18579420,74137792,91039218,91057964,28007985,61072231,41460644,87240149,29117771,82040334,26958691,47005413,62000614
2020-01-31,39415894,99345093,90279957,25369002,38509534,2253113,76859971,3708482,1196183,9249854,80188571,94253430,41010160,54561505,11727104,64625424,18755018,22673580,85779091,61373665,88564842,84292640,8435346,15490880,77357248,53752382,46156049,68583210,68693072,71059747,34367244,35906831,38825646,29691684,9330556,79757203,73947623,80014883,62745312,75308112,16515313,3252189,39359542,36521744,56494157,41250870,79412782,54302419,65434307,63687228
2020-02-01,49011861,96811709,24168239,15761445,63403370,75825551,44495223,58616235,12790759,19806874,9414691,89659612,48508331,96686808,63196883,33771937,27860384,33006655,42620644,22975621,60996443,45033606,86376433,64086618,55111879,49499351,5185865,56781644,50692667,4345000,56537724,55311208,42322173,63665187,36096616,70077451,10352520,72058204,40111294,83382986,49481133,24934621,91621223,10066413,42885397,3756862,59620802,80597915,10419713,36256469
2020-02-02,51108796,79229708,65276498,48666586,56819112,5573437,6409894,63332738,80789356,79086277,79828401,49449034,21928919,47425389,85553391,79744303,54762625,95722822,99612801,94035929,40243046,49310477,81147540,36334095,80838937,59469829,42347707,83354959,98351177,66148515,68293474,20380853,51554985,29596097,72124873,85055766,72353040,62971024,84119843,98860891,18339972,12850941,25468908,7775429,81284264,65673843,19921946,28090210,9768291,40372974
2020-02-03,59530837,99839868,33747229,14899621,45109272,26084409,12317042,51986872,94144594,2636733,12253602,6980664,56850457,13566057,91660974,70764267,34431603,91161442,7318772,75843987,63899871,17318832,78007734,96124480,52374487,25012573,51368193,96887105,63232653,14807371,67344323,11668434,1638138,4299570,79006870,1347886,59392455,70748034,47336373,19327545,69773101,53725306,20708088,34606123,86948551,98437978,23882800,92578689,6821623,89948460
2020-02-04,88450451,33317217,7598029,97502839,42769764,79805295,89323341,57532252,27129837,17979339,66376918,74146259,46974589,81800732,36395440,96667813,42076031,60679430,25436006,69716264,19988569,68394399,86894081,3833543,58932758,75960519,36383514,20951658,12528248,32130711,50356955,51729891,53069139,51807571,52847429,4189353,13220880,25006391,31924827,84429885,70435598,15904816,66343487,65775727,85458797,11113645,79593124,13459819,17231649,21399946
2020-02-05,59185525,84910891,58717027,54731341,6770818,50423440,37478272,87893367,57278476,99547480,86493908,61277287,4976466,99226877,2988286,6741009,86577525,60354700,79791654,83250912,94020922,7523923,62968782,93519426,35370928,43728212,93620135,1336313,71427204,84619016,97277768,30152218,63812883,78218383,40701169,78877298,7276827,14917713,38239067,55080574,78855331,38946629,24772903,54196404,69810921,10041933,23675067,51054822,88179510,85504019
2020-02-06,70160625,38256351,23519222,90642919,81863773,99541237,92456118,33213733,66216368,18680034,85576199,15459728,70133200,93426046,46974280,47694470,3902052,36905016,68904763,20973177,27714247,96974059,64601865,7292686,29707866,29511800,96810696,5580386,10454941,91244893,75436030,1368637,42004605,84790762,67228607,66642538,65127711,76831067,93399329,43356398,83881139,86211200,15254974,56226031,97417891,36098312,86913335,44130061,34590400,64296464
2020-02-07,64542339,45132076,22244476,2401134,14590397,38460304,98452921,46316284,19137027,35096107,15662741,45249222,41534183,61946901,82792064,18680872,39605621,48082516,99912934,47400137,91497822,20326814,66640082,80678447,19733428,55045801,63110735,48340090,64065562,98889394,39653943,14257483,46931164,63629144,61711634,45670442,86377162,82086302,23949580,27719929,24682299,10935590,33139968,93774268,18492425,57241591,50082088,11577473,96006186,67296203
2020-02-08,46157720,78904870,21444861,71940188,51514559,91640637,19920708,44176447,70069609,42933813,29400139,97830168,81572320,25821190,68616819,95009253,82339087,28828418,88990579,74151031,81525409,14349723,82889852,79921774,39282692,16453565,75251462,66917887,62167411,76876398,19716821,30903857,21849560,11065008,81369958,97018194,34517347,32526440,73314720,64292096,98905206,56730581,22336849,72331989,89196951,88597862,53594588,23996393,47173163,82884302
2020-02-09,66168202,83613670,20031662,78003107,57438449,54809552,40189288,70555399,6690146,50241210,7229754,37156533,84563346,68557764,91245673,86633008,40952524,93742773,1006803,63250056,50197741,93138208,89067356,28611819,41669051,63792146,34194218,82999073,35803495,82543273,73097295,34452478,22167195,12011895,4672414,74327611,62521807,93446674,1957602,62438814,53113965,25069087,25874515,57010148,57337758,13204533,6098710,59430671,50092274,60223693
2020-02-10,64136097,91219023,22485597,92879341,31700310,91593873,56350638,32879651,77993876,66113716,56076038,54496948,57381519,76633548,61490531,7107910,70506436,1983860,57498422,7945411,17103736,44413654,30619892,19147566,75180841,3220997,81752133,4440312,50588185,19558337,48928339,29937165,91447547,13418192,60194211,10365490,14813209,40939225,24731043,65486191,97811574,43906003,61413524,74087665,14322510,51222132,9707810,91167814,8541680,93290161
2020-02-11,28667450,24154890,13011568,81850078,2401500,88296195,11967487,31374104,48407863,49946148,3295121,82374524,47325032,93387380,90525319,63622674,95573918,70665460,64389417,46425332,24038405,5783240,94807180,77141994,73229370,59527956,2768810,83953732,53245959,37125448,14955525,80526827,12630665,69113588,98129832,45260024,73413412,72329483,48394687,27326360,67751063,54689125,73971607,90899961,21976163,41234278,72936214,13034655,86372597,8893133
2020-02-12,15389427,63410841,76049485,55877974,96677887,56863680,40381189,44227209,56395889,23133358,32408888,71080002,91010772,10834762,3297645,24926625,92603682,27223569,44728103,43467821,42401850,24088158,87578275,69953580,47589741,88787427,49135323,12603774,23174341,58257826,31695974,73509156,3899215,75294231,32510114,31328599,68798212,47427568,70904082,71168672,10581959,25011615,44858026,83970822,3309534,68288404,25440994,94932957,65302578,90546471
