date,open,high,low,close,volume,source,symbol
2024-01-02,9.39,9.42,9.21,9.21,1158366,akshare,000001.SZ
2024-01-03,9.19,9.22,9.15,9.2,733610,akshare,000001.SZ
2024-01-04,9.19,9.19,9.08,9.11,864194,akshare,000001.SZ
2024-01-05,9.1,9.44,9.07,9.27,1991622,akshare,000001.SZ
2024-01-08,9.23,9.3,9.11,9.15,1121156,akshare,000001.SZ
2024-01-09,9.16,9.19,9.09,9.18,766194,akshare,000001.SZ
2024-01-10,9.16,9.19,9.09,9.09,858621,akshare,000001.SZ
2024-01-11,9.08,9.22,9.03,9.17,934686,akshare,000001.SZ
2024-01-12,9.13,9.27,9.11,9.19,772582,akshare,000001.SZ
2024-01-15,9.16,9.29,9.13,9.21,745133,akshare,000001.SZ
2024-01-16,9.19,9.35,9.16,9.34,1438313,akshare,000001.SZ
2024-01-17,9.33,9.39,9.23,9.23,1482296,akshare,000001.SZ
2024-01-18,9.21,9.24,9.0,9.2,1755132,akshare,000001.SZ
2024-01-19,9.16,9.2,9.1,9.17,963981,akshare,000001.SZ
2024-01-22,9.16,9.26,9.04,9.1,1580320,akshare,000001.SZ
2024-01-23,9.05,9.18,8.96,9.16,1135545,akshare,000001.SZ
2024-01-24,9.23,9.34,9.07,9.33,1759123,akshare,000001.SZ
2024-01-25,9.33,9.54,9.27,9.5,2162514,akshare,000001.SZ
2024-01-26,9.47,9.67,9.44,9.62,2272287,akshare,000001.SZ
2024-01-29,9.69,9.88,9.58,9.7,2376252,akshare,000001.SZ
2024-01-30,9.61,9.7,9.49,9.5,1579122,akshare,000001.SZ
2024-01-31,9.46,9.56,9.38,9.46,1357217,akshare,000001.SZ
2024-02-01,9.41,9.48,9.34,9.41,1055260,akshare,000001.SZ
2024-02-02,9.42,9.47,9.07,9.27,1634214,akshare,000001.SZ
2024-02-05,9.19,9.43,9.11,9.38,1803592,akshare,000001.SZ
2024-02-06,9.3,9.68,9.29,9.68,1995410,akshare,000001.SZ
2024-02-07,9.62,9.67,9.48,9.61,2062015,akshare,000001.SZ
2024-02-08,9.58,9.67,9.52,9.67,1656814,akshare,000001.SZ
2024-02-19,9.76,9.81,9.65,9.81,1605243,akshare,000001.SZ
2024-02-20,9.79,9.84,9.73,9.82,1123564,akshare,000001.SZ
2024-02-21,9.78,10.8,9.77,10.8,5055285,akshare,000001.SZ
2024-02-22,10.65,10.91,10.62,10.9,4922325,akshare,000001.SZ
2024-02-23,10.88,11.24,10.84,10.85,3567480,akshare,000001.SZ
2024-02-26,10.78,10.88,10.5,10.53,2862609,akshare,000001.SZ
2024-02-27,10.49,10.6,10.46,10.5,1981905,akshare,000001.SZ
2024-02-28,10.51,10.7,10.4,10.49,3082693,akshare,000001.SZ
2024-02-29,10.42,10.59,10.41,10.59,1845344,akshare,000001.SZ
2024-03-01,10.59,10.6,10.43,10.49,1828103,akshare,000001.SZ
2024-03-04,10.45,10.5,10.32,10.33,1655930,akshare,000001.SZ
2024-03-05,10.3,10.47,10.26,10.43,1817319,akshare,000001.SZ
2024-03-06,10.4,10.45,10.33,10.33,1345640,akshare,000001.SZ
2024-03-07,10.33,10.64,10.33,10.38,2016166,akshare,000001.SZ
2024-03-08,10.35,10.44,10.3,10.38,1113974,akshare,000001.SZ
2024-03-11,10.38,10.47,10.34,10.47,1210673,akshare,000001.SZ
2024-03-12,10.48,10.59,10.41,10.56,1641262,akshare,000001.SZ
2024-03-13,10.53,10.55,10.3,10.33,1768039,akshare,000001.SZ
2024-03-14,10.3,10.38,10.2,10.23,1409400,akshare,000001.SZ
2024-03-15,10.55,10.75,10.5,10.6,3750208,akshare,000001.SZ
2024-03-18,10.56,10.61,10.49,10.54,1671397,akshare,000001.SZ
2024-03-19,10.53,10.54,10.39,10.4,1293216,akshare,000001.SZ
2024-03-20,10.38,10.47,10.37,10.45,872663,akshare,000001.SZ
2024-03-21,10.45,10.52,10.42,10.47,864466,akshare,000001.SZ
2024-03-22,10.45,10.45,10.31,10.36,1028142,akshare,000001.SZ
2024-03-25,10.35,10.49,10.32,10.4,953202,akshare,000001.SZ
2024-03-26,10.45,10.66,10.42,10.6,1740021,akshare,000001.SZ
2024-03-27,10.56,10.63,10.51,10.53,1274136,akshare,000001.SZ
2024-03-28,10.51,10.57,10.38,10.49,1302189,akshare,000001.SZ
2024-03-29,10.45,10.57,10.43,10.52,872759,akshare,000001.SZ
2024-04-01,10.52,10.65,10.51,10.64,1191088,akshare,000001.SZ
2024-04-02,10.63,10.68,10.53,10.55,1085458,akshare,000001.SZ
2024-04-03,10.53,10.55,10.42,10.46,981846,akshare,000001.SZ
2024-04-08,10.42,10.49,10.37,10.43,906361,akshare,000001.SZ
2024-04-09,10.43,10.47,10.36,10.4,857157,akshare,000001.SZ
2024-04-10,10.38,10.41,10.27,10.28,1246391,akshare,000001.SZ
2024-04-11,10.24,10.29,10.12,10.25,1010213,akshare,000001.SZ
