date,open,high,low,close,volume,source,symbol
2024-01-02,40.3,40.31,39.46,39.47,437592,akshare,601318.SH
2024-01-03,39.47,39.66,39.19,39.4,363822,akshare,601318.SH
2024-01-04,39.36,39.58,38.66,38.9,467392,akshare,601318.SH
2024-01-05,38.85,39.58,38.68,38.97,499202,akshare,601318.SH
2024-01-08,38.97,39.17,38.22,38.45,514732,akshare,601318.SH
2024-01-09,38.45,38.58,38.2,38.38,370651,akshare,601318.SH
2024-01-10,38.29,38.45,37.82,37.82,441304,akshare,601318.SH
2024-01-11,37.8,38.66,37.62,38.43,381571,akshare,601318.SH
2024-01-12,38.19,38.54,38.03,38.03,303001,akshare,601318.SH
2024-01-15,37.87,38.49,37.7,38.17,327022,akshare,601318.SH
2024-01-16,38.04,38.76,37.94,38.7,544963,akshare,601318.SH
2024-01-17,38.46,38.55,38.01,38.01,561229,akshare,601318.SH
2024-01-18,37.75,39.03,37.64,38.99,861544,akshare,601318.SH
2024-01-19,38.8,39.34,38.55,39.2,639744,akshare,601318.SH
2024-01-22,39.07,39.93,38.97,39.48,961099,akshare,601318.SH
2024-01-23,39.2,39.71,38.7,39.36,601721,akshare,601318.SH
2024-01-24,39.66,40.3,39.08,40.17,761151,akshare,601318.SH
2024-01-25,40.15,41.51,40.0,41.15,986581,akshare,601318.SH
2024-01-26,41.05,41.34,40.65,41.25,785925,akshare,601318.SH
2024-01-29,41.26,41.69,40.92,40.98,620785,akshare,601318.SH
2024-01-30,40.6,40.91,40.17,40.19,570640,akshare,601318.SH
2024-01-31,40.15,40.85,39.99,40.51,557014,akshare,601318.SH
2024-02-01,40.12,40.63,39.93,40.3,490925,akshare,601318.SH
2024-02-02,40.3,40.55,39.0,40.1,690773,akshare,601318.SH
2024-02-05,40.0,40.99,39.68,40.68,806148,akshare,601318.SH
2024-02-06,40.67,41.68,40.37,41.56,823835,akshare,601318.SH
2024-02-07,41.69,42.4,41.35,42.38,916154,akshare,601318.SH
2024-02-08,42.52,42.95,42.15,42.78,768747,akshare,601318.SH
2024-02-19,42.99,43.08,42.52,42.73,544134,akshare,601318.SH
2024-02-20,42.65,42.67,42.1,42.35,469355,akshare,601318.SH
2024-02-21,42.18,44.3,42.02,43.59,1112492,akshare,601318.SH
2024-02-22,43.36,43.74,43.21,43.7,517452,akshare,601318.SH
2024-02-23,43.68,44.45,43.6,44.07,644217,akshare,601318.SH
2024-02-26,43.9,43.91,42.9,42.95,616196,akshare,601318.SH
2024-02-27,42.82,43.15,42.7,43.12,429013,akshare,601318.SH
2024-02-28,43.19,43.28,42.65,42.65,535764,akshare,601318.SH
2024-02-29,42.52,43.07,42.5,42.9,455092,akshare,601318.SH
2024-03-01,42.8,43.09,42.52,42.99,445774,akshare,601318.SH
2024-03-04,42.73,42.82,42.2,42.34,545047,akshare,601318.SH
2024-03-05,42.15,42.88,42.05,42.81,623437,akshare,601318.SH
2024-03-06,42.79,42.91,42.46,42.5,342763,akshare,601318.SH
2024-03-07,42.77,43.46,42.73,43.06,648962,akshare,601318.SH
2024-03-08,42.87,43.2,42.55,42.88,372494,akshare,601318.SH
2024-03-11,42.78,43.28,42.74,43.16,435973,akshare,601318.SH
2024-03-12,43.17,43.88,42.88,43.81,679206,akshare,601318.SH
