date,open,high,low,close,volume,source,symbol
2024-01-01,0.5941,0.624,0.5903,0.6232,4112128.4875782,gate,ADA/USDT
2024-01-02,0.6233,0.6368,0.6019,0.605,6424976.45712464,gate,ADA/USDT
2024-01-03,0.6054,0.6184,0.48,0.557,17977871.24263488,gate,ADA/USDT
2024-01-04,0.557,0.5787,0.5492,0.5699,7037593.08923234,gate,ADA/USDT
2024-01-05,0.5699,0.5727,0.5213,0.5414,11405888.6325734,gate,ADA/USDT
2024-01-06,0.5414,0.543,0.5069,0.5229,6417126.59666888,gate,ADA/USDT
2024-01-07,0.5229,0.53,0.4877,0.4944,7503792.52006918,gate,ADA/USDT
2024-01-08,0.4946,0.5443,0.4643,0.5411,16510861.62403907,gate,ADA/USDT
2024-01-09,0.5412,0.5436,0.4966,0.5121,19029575.52000783,gate,ADA/USDT
2024-01-10,0.5123,0.5895,0.4869,0.5657,23932940.36902343,gate,ADA/USDT
2024-01-11,0.5661,0.6173,0.5606,0.5818,23144525.82040517,gate,ADA/USDT
2024-01-12,0.5819,0.5889,0.527,0.5477,10407497.70476495,gate,ADA/USDT
2024-01-13,0.5479,0.5539,0.5311,0.5492,3204635.8789188,gate,ADA/USDT
2024-01-14,0.5491,0.5501,0.5235,0.5252,4210496.30660695,gate,ADA/USDT
2024-01-15,0.525,0.5414,0.522,0.5274,3367689.07641847,gate,ADA/USDT
2024-01-16,0.5276,0.5482,0.5252,0.5357,3446646.82575798,gate,ADA/USDT
2024-01-17,0.5356,0.5394,0.5213,0.5283,2660845.26333443,gate,ADA/USDT
2024-01-18,0.5283,0.5283,0.4955,0.5022,5361076.05526712,gate,ADA/USDT
2024-01-19,0.5027,0.5053,0.4713,0.5043,6865223.71604536,gate,ADA/USDT
2024-01-20,0.5043,0.5176,0.4986,0.516,4464816.428322,gate,ADA/USDT
2024-01-21,0.5159,0.5204,0.5023,0.5032,2600514.89654525,gate,ADA/USDT
2024-01-22,0.5032,0.5062,0.477,0.4788,7301557.6059294,gate,ADA/USDT
2024-01-23,0.4787,0.486,0.4478,0.4774,9728054.11994551,gate,ADA/USDT
2024-01-24,0.4774,0.4805,0.4643,0.4765,4968847.52867884,gate,ADA/USDT
2024-01-25,0.4765,0.4841,0.4587,0.4667,4252705.79049423,gate,ADA/USDT
2024-01-26,0.4668,0.4904,0.463,0.4849,3500687.56585012,gate,ADA/USDT
2024-01-27,0.485,0.4899,0.4755,0.4859,1459501.89734585,gate,ADA/USDT
2024-01-28,0.4862,0.5004,0.4835,0.4902,2892777.55111604,gate,ADA/USDT
2024-01-29,0.4903,0.5281,0.4837,0.5261,4444575.37363519,gate,ADA/USDT
2024-01-30,0.5261,0.5367,0.5123,0.5138,5887878.43028993,gate,ADA/USDT
2024-01-31,0.5139,0.52,0.4933,0.4976,6736705.46339463,gate,ADA/USDT
2024-02-01,0.4976,0.5084,0.4858,0.5078,4231550.93246488,gate,ADA/USDT
2024-02-02,0.5077,0.5244,0.5043,0.5144,4399435.96827966,gate,ADA/USDT
2024-02-03,0.5147,0.5257,0.5118,0.5125,2384489.54157676,gate,ADA/USDT
2024-02-04,0.5126,0.5126,0.4933,0.4934,2127725.1435185,gate,ADA/USDT
2024-02-05,0.4934,0.5061,0.4873,0.4943,3150231.33655353,gate,ADA/USDT
2024-02-06,0.4944,0.504,0.4888,0.4983,2490421.25633312,gate,ADA/USDT
2024-02-07,0.4984,0.5026,0.4743,0.5024,7192329.70632631,gate,ADA/USDT
2024-02-08,0.5025,0.5361,0.5021,0.5304,10154432.40894197,gate,ADA/USDT
2024-02-09,0.5305,0.5485,0.528,0.5403,5961007.92966015,gate,ADA/USDT
2024-02-10,0.5409,0.5581,0.5281,0.5515,4489586.04594517,gate,ADA/USDT
2024-02-11,0.5516,0.5653,0.5354,0.5416,7003974.98076117,gate,ADA/USDT
2024-02-12,0.5414,0.5657,0.5307,0.5594,4162195.75407551,gate,ADA/USDT
2024-02-13,0.5591,0.5644,0.534,0.5446,4644408.1525545,gate,ADA/USDT
2024-02-14,0.545,0.5831,0.5397,0.5768,5470378.83412188,gate,ADA/USDT
2024-02-15,0.577,0.6125,0.5707,0.6086,7765873.21744513,gate,ADA/USDT
2024-02-16,0.6087,0.6139,0.5822,0.5985,5201482.09046051,gate,ADA/USDT
2024-02-17,0.5989,0.611,0.5688,0.6092,5154300.14934876,gate,ADA/USDT
2024-02-18,0.6096,0.6387,0.6094,0.6193,8384946.59840171,gate,ADA/USDT
2024-02-19,0.6195,0.6388,0.6147,0.63,5733182.09699433,gate,ADA/USDT
2024-02-20,0.6307,0.6413,0.596,0.6217,9838052.04649002,gate,ADA/USDT
2024-02-21,0.6217,0.6234,0.5746,0.5986,7294088.00726309,gate,ADA/USDT
2024-02-22,0.5987,0.608,0.5807,0.5859,4750949.05020467,gate,ADA/USDT
2024-02-23,0.5859,0.5952,0.5681,0.5823,7435954.38765133,gate,ADA/USDT
2024-02-24,0.5824,0.5999,0.5697,0.5969,3604894.3579781,gate,ADA/USDT
2024-02-25,0.5971,0.6007,0.5806,0.5913,3537447.39179796,gate,ADA/USDT
2024-02-26,0.5914,0.622,0.5729,0.6196,7443608.30642935,gate,ADA/USDT
2024-02-27,0.6192,0.6308,0.6073,0.6238,9431335.80582072,gate,ADA/USDT
2024-02-28,0.624,0.6611,0.5962,0.6291,23256322.51168227,gate,ADA/USDT
2024-02-29,0.6288,0.7086,0.6224,0.6545,27465410.72287655,gate,ADA/USDT
2024-03-01,0.655,0.7199,0.653,0.7194,12378780.49041346,gate,ADA/USDT
2024-03-02,0.7199,0.7637,0.7173,0.7417,18415692.20856521,gate,ADA/USDT
2024-03-03,0.7415,0.742,0.6854,0.7282,12708248.01227925,gate,ADA/USDT
2024-03-04,0.7282,0.7984,0.7235,0.7701,23972783.95754748,gate,ADA/USDT
2024-03-05,0.7702,0.7827,0.56,0.6922,43579822.76953151,gate,ADA/USDT
2024-03-06,0.6923,0.7571,0.6651,0.7347,18728622.450901,gate,ADA/USDT
2024-03-07,0.7349,0.755,0.7185,0.7427,11223757.27755242,gate,ADA/USDT
2024-03-08,0.7429,0.7545,0.6993,0.7229,14363552.15119119,gate,ADA/USDT
2024-03-09,0.723,0.7457,0.7201,0.742,4319965.63255398,gate,ADA/USDT
2024-03-10,0.7418,0.7441,0.6999,0.7166,4914230.696481,gate,ADA/USDT
2024-03-11,0.7167,0.7879,0.6851,0.7746,18478989.937196,gate,ADA/USDT
2024-03-12,0.7755,0.7763,0.7041,0.7481,16584390.7019062,gate,ADA/USDT
2024-03-13,0.7481,0.773,0.736,0.764,8255132.3488343,gate,ADA/USDT
2024-03-14,0.7643,0.8108,0.7135,0.7508,31205561.31351486,gate,ADA/USDT
2024-03-15,0.7512,0.7644,0.6688,0.7273,27207815.58744864,gate,ADA/USDT
2024-03-16,0.7276,0.7351,0.6505,0.659,13417068.32657814,gate,ADA/USDT
2024-03-17,0.6592,0.6881,0.629,0.6811,9222409.76658881,gate,ADA/USDT
2024-03-18,0.6815,0.699,0.6424,0.6602,10222828.80864939,gate,ADA/USDT
2024-03-19,0.6602,0.6659,0.58,0.5869,23720246.48554182,gate,ADA/USDT
2024-03-20,0.5865,0.6441,0.569,0.6396,23036717.81395216,gate,ADA/USDT
2024-03-21,0.6397,0.6485,0.6178,0.6319,10165495.30719021,gate,ADA/USDT
2024-03-22,0.6318,0.6426,0.5988,0.6146,12205716.63012539,gate,ADA/USDT
2024-03-23,0.6149,0.6393,0.6102,0.6231,9145980.49869532,gate,ADA/USDT
2024-03-24,0.6232,0.6482,0.6224,0.6467,7384152.157063,gate,ADA/USDT
2024-03-25,0.6469,0.6681,0.6379,0.6566,10684035.87687073,gate,ADA/USDT
2024-03-26,0.6567,0.6836,0.6522,0.665,27308400.22327693,gate,ADA/USDT
2024-03-27,0.6652,0.6708,0.6305,0.6481,17850401.36775733,gate,ADA/USDT
2024-03-28,0.648,0.6582,0.6352,0.6511,13447451.55808765,gate,ADA/USDT
2024-03-29,0.6512,0.6678,0.6349,0.6642,16983073.7958047,gate,ADA/USDT
2024-03-30,0.6643,0.6692,0.6416,0.6438,7540159.12425217,gate,ADA/USDT
2024-03-31,0.6437,0.6535,0.6419,0.65,3508366.62950402,gate,ADA/USDT
2024-04-01,0.6501,0.6513,0.605,0.6212,19891124.15407462,gate,ADA/USDT
2024-04-02,0.6212,0.6214,0.5721,0.5806,21867839.07777832,gate,ADA/USDT
2024-04-03,0.5808,0.5947,0.5623,0.5693,10020013.86304922,gate,ADA/USDT
2024-04-04,0.5693,0.5968,0.559,0.5833,9878104.60360688,gate,ADA/USDT
2024-04-05,0.5832,0.5847,0.5594,0.5742,12044160.51479505,gate,ADA/USDT
2024-04-06,0.5743,0.5894,0.5716,0.5837,3170162.224588,gate,ADA/USDT
2024-04-07,0.5837,0.5971,0.5816,0.5891,4071295.73530947,gate,ADA/USDT
2024-04-08,0.5892,0.6166,0.5791,0.6138,7897597.62565819,gate,ADA/USDT
2024-04-09,0.6139,0.624,0.5904,0.5914,8008230.17445903,gate,ADA/USDT
2024-04-10,0.5912,0.594,0.5578,0.5863,8759149.91635899,gate,ADA/USDT
2024-04-11,0.5863,0.5946,0.5756,0.5859,4031157.60711739,gate,ADA/USDT
2024-04-12,0.5859,0.5921,0.4388,0.5027,50233213.30857469,gate,ADA/USDT
2024-04-13,0.5027,0.5164,0.3983,0.445,86746019.00684477,gate,ADA/USDT
2024-04-14,0.4451,0.4777,0.4323,0.4675,49971131.68902532,gate,ADA/USDT
2024-04-15,0.4675,0.4952,0.4388,0.461,30845543.37257,gate,ADA/USDT
2024-04-16,0.4611,0.4779,0.4392,0.4584,19376776.06090012,gate,ADA/USDT
2024-04-17,0.4584,0.465,0.4275,0.4443,12378470.86119531,gate,ADA/USDT
2024-04-18,0.4441,0.4609,0.4343,0.458,13509764.62814003,gate,ADA/USDT
2024-04-19,0.458,0.4759,0.423,0.4681,24480023.1,gate,ADA/USDT
2024-04-20,0.4682,0.5082,0.4644,0.507,14708620.25137388,gate,ADA/USDT
2024-04-21,0.507,0.5126,0.4876,0.4993,8825038.51440839,gate,ADA/USDT
2024-04-22,0.4994,0.5224,0.4949,0.5165,8746956.02,gate,ADA/USDT
2024-04-23,0.5166,0.5217,0.4971,0.5,9095647.07,gate,ADA/USDT
2024-04-24,0.5001,0.5108,0.4689,0.4747,21187367.05,gate,ADA/USDT
2024-04-25,0.4747,0.4799,0.4624,0.4705,8892089.76,gate,ADA/USDT
2024-04-26,0.4705,0.4788,0.4607,0.4625,6586492.03329401,gate,ADA/USDT
2024-04-27,0.4632,0.4701,0.446,0.4674,9361760.0,gate,ADA/USDT
2024-04-28,0.4676,0.4782,0.4583,0.4602,5773506.602355,gate,ADA/USDT
2024-04-29,0.4603,0.4638,0.4464,0.4569,6723594.902732,gate,ADA/USDT
2024-04-30,0.4572,0.4632,0.4256,0.4414,15496768.34,gate,ADA/USDT
2024-05-01,0.4413,0.4578,0.4185,0.4501,28851405.89874855,gate,ADA/USDT
2024-05-02,0.4502,0.4628,0.4388,0.4577,9750814.28,gate,ADA/USDT
2024-05-03,0.4578,0.4736,0.4463,0.4674,7095215.00754873,gate,ADA/USDT
2024-05-04,0.4674,0.4759,0.4624,0.4631,4208438.59,gate,ADA/USDT
2024-05-05,0.4633,0.4659,0.4521,0.458,3267356.74,gate,ADA/USDT
2024-05-06,0.4581,0.4757,0.4515,0.454,7108754.34,gate,ADA/USDT
2024-05-07,0.4541,0.4565,0.4406,0.4414,5279383.16,gate,ADA/USDT
2024-05-08,0.4414,0.4689,0.4365,0.452,14690018.9,gate,ADA/USDT
2024-05-09,0.4518,0.4645,0.4469,0.4635,6336096.3,gate,ADA/USDT
2024-05-10,0.4636,0.4687,0.4432,0.4479,7120543.78,gate,ADA/USDT
2024-05-11,0.448,0.4511,0.4379,0.4389,1712944.49,gate,ADA/USDT
2024-05-12,0.439,0.4434,0.4333,0.4378,1535923.77,gate,ADA/USDT
2024-05-13,0.4378,0.4532,0.4252,0.4366,9690674.74000011,gate,ADA/USDT
2024-05-14,0.4367,0.4384,0.426,0.4284,6481357.15000002,gate,ADA/USDT
2024-05-15,0.4285,0.455,0.426,0.4524,7614168.68,gate,ADA/USDT
2024-05-16,0.4526,0.4627,0.4485,0.4596,5822965.85999824,gate,ADA/USDT
2024-05-17,0.4599,0.4907,0.4552,0.482,10576081.15,gate,ADA/USDT
2024-05-18,0.4824,0.4859,0.4756,0.4822,4911893.42,gate,ADA/USDT
2024-05-19,0.482,0.4837,0.4646,0.4672,3056440.94,gate,ADA/USDT
2024-05-20,0.4673,0.503,0.4607,0.5019,13390486.19,gate,ADA/USDT
2024-05-21,0.5021,0.5108,0.4908,0.4946,9510709.94999301,gate,ADA/USDT
2024-05-22,0.4945,0.4954,0.4746,0.4835,6294052.94,gate,ADA/USDT
2024-05-23,0.4835,0.4885,0.4449,0.4657,35712346.56000005,gate,ADA/USDT
2024-05-24,0.4656,0.4695,0.4541,0.4601,5592560.7,gate,ADA/USDT
2024-05-25,0.4601,0.4647,0.4573,0.4622,2314962.92,gate,ADA/USDT
2024-05-26,0.4622,0.4628,0.455,0.4582,1583807.70249,gate,ADA/USDT
2024-05-27,0.4582,0.4748,0.4566,0.4684,3655366.323515,gate,ADA/USDT
2024-05-28,0.4685,0.4693,0.452,0.4574,7904249.78,gate,ADA/USDT
2024-05-29,0.4576,0.464,0.4507,0.4513,3847264.32,gate,ADA/USDT
2024-05-30,0.4512,0.4556,0.4434,0.4465,4804033.85,gate,ADA/USDT
2024-05-31,0.4466,0.4558,0.4437,0.4472,4451282.66,gate,ADA/USDT
2024-06-01,0.4473,0.4532,0.4451,0.4502,1361276.51,gate,ADA/USDT
2024-06-02,0.4501,0.4541,0.4406,0.4465,2215235.18,gate,ADA/USDT
2024-06-03,0.4465,0.4632,0.4436,0.4571,3336979.97,gate,ADA/USDT
2024-06-04,0.4575,0.4655,0.4527,0.4616,3090341.42,gate,ADA/USDT
2024-06-05,0.4616,0.4651,0.4572,0.4613,3569328.74,gate,ADA/USDT
2024-06-06,0.4614,0.4621,0.4508,0.4581,3753856.99,gate,ADA/USDT
2024-06-07,0.4583,0.4901,0.4241,0.4491,25938406.66223242,gate,ADA/USDT
2024-06-08,0.4492,0.4492,0.4322,0.4366,4430248.20705836,gate,ADA/USDT
2024-06-09,0.4367,0.446,0.4316,0.4441,2286807.87,gate,ADA/USDT
2024-06-10,0.4442,0.4513,0.4349,0.4406,6077156.74,gate,ADA/USDT
2024-06-11,0.4406,0.4417,0.4127,0.4218,22089273.6899931,gate,ADA/USDT
2024-06-12,0.4216,0.4442,0.4141,0.4378,19617932.09,gate,ADA/USDT
2024-06-13,0.4378,0.4391,0.419,0.421,10104047.24,gate,ADA/USDT
2024-06-14,0.421,0.4247,0.3996,0.4117,12452622.08,gate,ADA/USDT
2024-06-15,0.4118,0.4155,0.408,0.4138,3917067.62,gate,ADA/USDT
2024-06-16,0.414,0.4192,0.4091,0.4168,3155176.31,gate,ADA/USDT
2024-06-17,0.4169,0.4212,0.3907,0.4013,12652860.43236856,gate,ADA/USDT
2024-06-18,0.4012,0.4027,0.36,0.3837,34657264.91771098,gate,ADA/USDT
2024-06-19,0.3836,0.3978,0.3804,0.3845,4021553.73,gate,ADA/USDT
2024-06-20,0.3845,0.3973,0.3771,0.3843,4406619.20870005,gate,ADA/USDT
2024-06-21,0.3843,0.3908,0.3736,0.376,5438109.61,gate,ADA/USDT
2024-06-22,0.3759,0.391,0.3715,0.3848,8101154.02998052,gate,ADA/USDT
2024-06-23,0.3847,0.3933,0.3791,0.3802,4967326.77,gate,ADA/USDT
2024-06-24,0.3796,0.3816,0.363,0.3779,10633335.78498517,gate,ADA/USDT
2024-06-25,0.3778,0.3975,0.377,0.3919,3710695.82,gate,ADA/USDT
2024-06-26,0.3919,0.3965,0.3824,0.3849,5636233.73,gate,ADA/USDT
2024-06-27,0.385,0.3941,0.3777,0.3912,4436514.73,gate,ADA/USDT
2024-06-28,0.3912,0.3969,0.3852,0.3858,5740405.22,gate,ADA/USDT
2024-06-29,0.3859,0.4037,0.3833,0.3841,6834464.09,gate,ADA/USDT
2024-06-30,0.3841,0.3943,0.3785,0.3925,4676906.659992,gate,ADA/USDT
2024-07-01,0.3925,0.4084,0.3916,0.4032,5300331.72000323,gate,ADA/USDT
2024-07-02,0.4033,0.4195,0.4027,0.4183,5652324.41,gate,ADA/USDT
2024-07-03,0.4186,0.4235,0.4003,0.4069,10445001.34,gate,ADA/USDT
2024-07-04,0.407,0.4137,0.3614,0.3623,14235425.32998743,gate,ADA/USDT
2024-07-05,0.3618,0.3622,0.3172,0.3498,43556024.93739408,gate,ADA/USDT
2024-07-06,0.3498,0.3734,0.3466,0.3709,4305059.01,gate,ADA/USDT
2024-07-07,0.3707,0.3712,0.3446,0.3466,4019946.82,gate,ADA/USDT
2024-07-08,0.3467,0.3802,0.3303,0.3691,18980931.66,gate,ADA/USDT
2024-07-09,0.369,0.3808,0.3625,0.3753,4692614.98,gate,ADA/USDT
2024-07-10,0.3754,0.39,0.3718,0.3885,4600658.08000538,gate,ADA/USDT
2024-07-11,0.3885,0.4049,0.3843,0.3958,5439782.1,gate,ADA/USDT
2024-07-12,0.3961,0.4179,0.3932,0.4165,8860907.47,gate,ADA/USDT
2024-07-13,0.4166,0.4465,0.4115,0.4415,11015250.28,gate,ADA/USDT
2024-07-14,0.4417,0.4449,0.4248,0.4317,10894585.51,gate,ADA/USDT
2024-07-15,0.4316,0.4458,0.431,0.4449,11460374.26,gate,ADA/USDT
2024-07-16,0.4449,0.4524,0.4265,0.4381,10976378.7,gate,ADA/USDT
2024-07-17,0.4381,0.4566,0.4355,0.4358,6741030.5407,gate,ADA/USDT
2024-07-18,0.4361,0.4496,0.4201,0.4234,7207032.84,gate,ADA/USDT
2024-07-19,0.4236,0.4427,0.4147,0.4389,6208538.39,gate,ADA/USDT
2024-07-20,0.4389,0.4418,0.4274,0.4373,4109559.67,gate,ADA/USDT
2024-07-21,0.4373,0.4488,0.4167,0.4469,5813763.52,gate,ADA/USDT
2024-07-22,0.4472,0.4502,0.4237,0.4258,5459810.49,gate,ADA/USDT
2024-07-23,0.4261,0.4295,0.4028,0.4098,4933598.39,gate,ADA/USDT
2024-07-24,0.41,0.4214,0.4037,0.4063,7473847.74,gate,ADA/USDT
2024-07-25,0.4063,0.4083,0.3817,0.3948,7467157.46,gate,ADA/USDT
2024-07-26,0.3948,0.4198,0.3944,0.4173,3213383.75,gate,ADA/USDT
2024-07-27,0.4173,0.4291,0.4127,0.4175,5019973.15,gate,ADA/USDT
2024-07-28,0.4176,0.4205,0.4045,0.4074,2002932.52,gate,ADA/USDT
2024-07-29,0.4073,0.427,0.4031,0.4032,3228755.14,gate,ADA/USDT
2024-07-30,0.4032,0.4075,0.3941,0.402,3619398.74,gate,ADA/USDT
2024-07-31,0.4014,0.4077,0.3871,0.3882,4379304.95246339,gate,ADA/USDT
2024-08-01,0.3882,0.3956,0.3683,0.3925,6987018.63474653,gate,ADA/USDT
2024-08-02,0.3926,0.3951,0.358,0.3637,8649264.91246002,gate,ADA/USDT
2024-08-03,0.3637,0.3729,0.3488,0.3645,5450743.68844169,gate,ADA/USDT
2024-08-04,0.3647,0.3677,0.334,0.3441,7341892.07074032,gate,ADA/USDT
2024-08-05,0.3442,0.3459,0.2758,0.3118,190498665.77506813,gate,ADA/USDT
2024-08-06,0.312,0.3368,0.3115,0.3309,12224818.82194968,gate,ADA/USDT
2024-08-07,0.3311,0.3409,0.3162,0.3239,10120254.72,gate,ADA/USDT
2024-08-08,0.324,0.3534,0.3188,0.3515,12402943.56,gate,ADA/USDT
2024-08-09,0.3516,0.3543,0.3366,0.3483,8317137.59,gate,ADA/USDT
2024-08-10,0.3484,0.3523,0.3443,0.3458,1888872.75,gate,ADA/USDT
2024-08-11,0.3457,0.3564,0.3271,0.3275,1919505.82,gate,ADA/USDT
2024-08-12,0.3277,0.3446,0.3264,0.3391,6783289.02,gate,ADA/USDT
2024-08-13,0.339,0.345,0.3307,0.34,4420349.43,gate,ADA/USDT
2024-08-14,0.34,0.3455,0.3309,0.3352,5047421.56,gate,ADA/USDT
2024-08-15,0.3353,0.3418,0.3205,0.3249,10449965.02,gate,ADA/USDT
2024-08-16,0.3249,0.3453,0.3204,0.3301,18074230.44,gate,ADA/USDT
2024-08-17,0.33,0.3387,0.3274,0.3373,4385088.37,gate,ADA/USDT
2024-08-18,0.3373,0.3399,0.3329,0.3343,2764961.14,gate,ADA/USDT
2024-08-19,0.3343,0.3376,0.3277,0.3367,5738322.68,gate,ADA/USDT
2024-08-20,0.3367,0.3482,0.3355,0.3433,6487438.0,gate,ADA/USDT
2024-08-21,0.3434,0.3774,0.3423,0.3688,18407424.83253,gate,ADA/USDT
2024-08-22,0.3688,0.3774,0.3643,0.3762,7231164.89,gate,ADA/USDT
