date,open,high,low,close,volume,source,symbol
2024-01-01,38.57,42.0,38.03,41.93,254032.09936225,gate,AVAX/USDT
2024-01-02,41.94,43.43,40.32,40.59,326133.6755016,gate,AVAX/USDT
2024-01-03,40.62,41.42,31.61,36.79,909438.80642921,gate,AVAX/USDT
2024-01-04,36.78,39.45,36.08,38.7,369209.61105304,gate,AVAX/USDT
2024-01-05,38.72,38.91,34.96,36.43,421681.84910015,gate,AVAX/USDT
2024-01-06,36.47,36.51,33.43,34.63,234032.73531313,gate,AVAX/USDT
2024-01-07,34.6,35.78,33.11,33.63,236261.68763518,gate,AVAX/USDT
2024-01-08,33.66,36.48,31.14,36.08,489831.53292593,gate,AVAX/USDT
2024-01-09,36.09,37.62,33.77,34.64,596330.19960239,gate,AVAX/USDT
2024-01-10,34.64,39.53,33.34,38.54,545106.33877929,gate,AVAX/USDT
2024-01-11,38.53,41.77,37.53,39.31,540801.18109199,gate,AVAX/USDT
2024-01-12,39.3,39.58,34.28,35.92,335614.03196818,gate,AVAX/USDT
2024-01-13,35.94,36.63,34.7,36.49,144561.908644,gate,AVAX/USDT
2024-01-14,36.48,37.86,35.28,35.28,211745.4792643,gate,AVAX/USDT
2024-01-15,35.29,36.8,35.15,35.62,122612.22014727,gate,AVAX/USDT
2024-01-16,35.6,36.53,34.78,35.6,157341.43741771,gate,AVAX/USDT
2024-01-17,35.58,36.51,35.26,36.07,173256.17549871,gate,AVAX/USDT
2024-01-18,36.07,36.19,32.72,33.56,214490.29219029,gate,AVAX/USDT
2024-01-19,33.59,33.74,31.2,32.73,218456.93997262,gate,AVAX/USDT
2024-01-20,32.74,32.98,32.04,32.89,112862.40364568,gate,AVAX/USDT
2024-01-21,32.89,33.49,32.46,32.54,130236.66656447,gate,AVAX/USDT
2024-01-22,32.53,32.72,29.33,29.53,345079.53606969,gate,AVAX/USDT
2024-01-23,29.53,30.73,27.23,30.63,489138.94416554,gate,AVAX/USDT
2024-01-24,30.64,31.89,29.51,31.19,273689.84234281,gate,AVAX/USDT
