date,open,high,low,close,volume,source,symbol
2024-01-01,0.089557,0.09209,0.088484,0.09201,34695862.898909,gate,DOGE/USDT
2024-01-02,0.092007,0.094349,0.090413,0.091079,76277379.6322489,gate,DOGE/USDT
2024-01-03,0.091083,0.092127,0.0748,0.081992,262278256.5983677,gate,DOGE/USDT
2024-01-04,0.082011,0.084633,0.080986,0.084,83795336.2514865,gate,DOGE/USDT
2024-01-05,0.083992,0.08481,0.08,0.082656,114662344.1442467,gate,DOGE/USDT
2024-01-06,0.082657,0.082665,0.078338,0.080584,80740330.83496653,gate,DOGE/USDT
2024-01-07,0.080584,0.08146,0.077034,0.078239,80585358.0743178,gate,DOGE/USDT
2024-01-08,0.078253,0.081762,0.074147,0.081338,156930228.12133306,gate,DOGE/USDT
2024-01-09,0.081332,0.083906,0.076384,0.079221,265581986.11252183,gate,DOGE/USDT
2024-01-10,0.079228,0.084949,0.076249,0.083038,214762933.46807957,gate,DOGE/USDT
2024-01-11,0.08309,0.08792,0.082035,0.084581,217844423.75799218,gate,DOGE/USDT
2024-01-12,0.084581,0.08546,0.077307,0.080075,134081524.7126785,gate,DOGE/USDT
2024-01-13,0.08009,0.081352,0.078622,0.080926,61354741.47156368,gate,DOGE/USDT
2024-01-14,0.080939,0.083922,0.079676,0.079999,114633448.63090284,gate,DOGE/USDT
2024-01-15,0.080031,0.081769,0.07989,0.081054,65606238.76745583,gate,DOGE/USDT
2024-01-16,0.081081,0.08255,0.079847,0.081361,68026686.72880875,gate,DOGE/USDT
2024-01-17,0.081342,0.08159,0.079357,0.08058,50511867.1288105,gate,DOGE/USDT
2024-01-18,0.08059,0.080827,0.076923,0.078066,71689626.05899028,gate,DOGE/USDT
2024-01-19,0.078114,0.078826,0.074849,0.078555,81002995.4566615,gate,DOGE/USDT
2024-01-20,0.078578,0.090512,0.07823,0.087767,198966155.11009943,gate,DOGE/USDT
2024-01-21,0.087792,0.090393,0.084637,0.085435,262958198.32429865,gate,DOGE/USDT
2024-01-22,0.085444,0.085581,0.080136,0.08056,180350042.8341748,gate,DOGE/USDT
2024-01-23,0.080562,0.081846,0.075971,0.078208,164676962.54546615,gate,DOGE/USDT
2024-01-24,0.078227,0.080713,0.077611,0.07905,86035014.07437035,gate,DOGE/USDT
2024-01-25,0.079049,0.079299,0.0771,0.077906,53863488.83774494,gate,DOGE/USDT
2024-01-26,0.077962,0.080336,0.077557,0.079829,49561069.54950703,gate,DOGE/USDT
2024-01-27,0.079851,0.080699,0.079035,0.080148,39102996.68145758,gate,DOGE/USDT
