date,open,high,low,close,volume,source,symbol
2024-01-01,8.207,8.639,8.062,8.598,465474.82283223,gate,DOT/USDT
2024-01-02,8.597,8.804,8.306,8.409,768391.94112788,gate,DOT/USDT
2024-01-03,8.409,8.574,6.5,7.629,1913752.86944212,gate,DOT/USDT
2024-01-04,7.628,7.996,7.47,7.879,766500.47605472,gate,DOT/USDT
2024-01-05,7.878,7.956,7.177,7.447,1062135.68206183,gate,DOT/USDT
2024-01-06,7.45,7.45,6.943,7.134,675941.55830224,gate,DOT/USDT
2024-01-07,7.133,7.324,6.816,6.898,616360.574413,gate,DOT/USDT
2024-01-08,6.899,7.504,6.511,7.484,1133949.36870653,gate,DOT/USDT
2024-01-09,7.483,7.525,6.909,7.127,1162598.89838455,gate,DOT/USDT
2024-01-10,7.127,8.084,6.801,7.987,1688072.97730088,gate,DOT/USDT
2024-01-11,7.989,8.587,7.854,8.146,1842174.85916003,gate,DOT/USDT
2024-01-12,8.149,8.216,7.311,7.566,1120330.71463763,gate,DOT/USDT
2024-01-13,7.567,7.751,7.37,7.616,496899.67024995,gate,DOT/USDT
2024-01-14,7.617,7.697,7.315,7.319,501254.29474812,gate,DOT/USDT
2024-01-15,7.321,7.693,7.309,7.505,481889.56053722,gate,DOT/USDT
2024-01-16,7.508,7.689,7.341,7.49,480238.24137588,gate,DOT/USDT
2024-01-17,7.491,7.596,7.256,7.349,396829.2469825,gate,DOT/USDT
2024-01-18,7.349,7.39,6.823,7.016,682294.15955123,gate,DOT/USDT
2024-01-19,7.022,7.054,6.573,6.896,531105.35460334,gate,DOT/USDT
2024-01-20,6.895,6.952,6.777,6.911,299109.58296621,gate,DOT/USDT
2024-01-21,6.912,6.974,6.802,6.817,218921.64216073,gate,DOT/USDT
2024-01-22,6.817,6.848,6.292,6.339,935829.19502563,gate,DOT/USDT
2024-01-23,6.344,6.455,5.978,6.359,879446.78869046,gate,DOT/USDT
2024-01-24,6.362,6.541,6.259,6.461,432825.65595574,gate,DOT/USDT
2024-01-25,6.464,6.57,6.351,6.435,346470.61165529,gate,DOT/USDT
2024-01-26,6.441,6.728,6.362,6.672,378857.58681436,gate,DOT/USDT
2024-01-27,6.674,6.752,6.529,6.668,242979.41430079,gate,DOT/USDT
2024-01-28,6.669,6.872,6.568,6.867,476077.29760387,gate,DOT/USDT
2024-01-29,6.87,7.296,6.706,7.031,986752.45739823,gate,DOT/USDT
2024-01-30,7.031,7.083,6.82,6.834,592176.45630691,gate,DOT/USDT
2024-01-31,6.837,6.887,6.584,6.653,540837.9755865,gate,DOT/USDT
2024-02-01,6.653,6.816,6.534,6.791,278344.54866723,gate,DOT/USDT
2024-02-02,6.792,7.024,6.763,6.947,330603.11541837,gate,DOT/USDT
2024-02-03,6.947,7.008,6.815,6.826,161162.27055938,gate,DOT/USDT
2024-02-04,6.826,6.827,6.65,6.665,214993.19640004,gate,DOT/USDT
2024-02-05,6.665,6.974,6.593,6.735,333021.05169788,gate,DOT/USDT
2024-02-06,6.735,6.832,6.641,6.807,210137.07793951,gate,DOT/USDT
2024-02-07,6.808,6.963,6.671,6.937,242768.34492733,gate,DOT/USDT
2024-02-08,6.941,7.106,6.87,7.014,413731.31380187,gate,DOT/USDT
2024-02-09,7.015,7.328,6.962,7.193,455463.56842419,gate,DOT/USDT
2024-02-10,7.198,7.292,7.059,7.201,260080.63662256,gate,DOT/USDT
2024-02-11,7.201,7.344,7.079,7.099,311246.9615452,gate,DOT/USDT
2024-02-12,7.103,7.376,6.98,7.338,439639.27128082,gate,DOT/USDT
2024-02-13,7.339,7.455,7.119,7.351,533308.13455805,gate,DOT/USDT
2024-02-14,7.351,7.71,7.277,7.649,553597.42826268,gate,DOT/USDT
2024-02-15,7.648,7.948,7.528,7.779,661380.43525087,gate,DOT/USDT
2024-02-16,7.779,7.866,7.538,7.649,414221.79184331,gate,DOT/USDT
2024-02-17,7.651,7.708,7.341,7.705,399408.64119744,gate,DOT/USDT
2024-02-18,7.706,7.92,7.677,7.855,323011.09902172,gate,DOT/USDT
2024-02-19,7.858,8.146,7.653,8.026,530441.39764912,gate,DOT/USDT
2024-02-20,8.03,8.116,7.412,7.729,833503.6525853,gate,DOT/USDT
2024-02-21,7.729,7.729,7.222,7.467,474206.60166047,gate,DOT/USDT
2024-02-22,7.467,7.684,7.277,7.482,394171.10356144,gate,DOT/USDT
2024-02-23,7.482,7.644,7.274,7.561,568501.69796435,gate,DOT/USDT
2024-02-24,7.565,7.89,7.434,7.819,424549.55264583,gate,DOT/USDT
2024-02-25,7.819,7.944,7.678,7.923,358435.50798704,gate,DOT/USDT
2024-02-26,7.924,8.116,7.586,8.111,655877.59747906,gate,DOT/USDT
2024-02-27,8.109,8.446,7.998,8.365,888535.36253853,gate,DOT/USDT
2024-02-28,8.369,8.716,7.724,8.344,1809413.33237663,gate,DOT/USDT
2024-02-29,8.344,8.897,8.031,8.256,1278026.96558378,gate,DOT/USDT
2024-03-01,8.264,8.67,8.263,8.664,659334.5170335,gate,DOT/USDT
2024-03-02,8.661,9.468,8.579,9.468,1207750.13726185,gate,DOT/USDT
2024-03-03,9.465,9.902,8.563,9.775,1666763.21616138,gate,DOT/USDT
2024-03-04,9.784,10.307,9.589,9.865,1981646.03620746,gate,DOT/USDT
2024-03-05,9.865,10.761,8.25,9.328,2478189.19620808,gate,DOT/USDT
2024-03-06,9.324,10.555,8.921,10.543,1144404.66529801,gate,DOT/USDT
2024-03-07,10.542,10.999,10.236,10.405,796474.49461196,gate,DOT/USDT
2024-03-08,10.406,10.699,9.96,10.638,1336360.417567,gate,DOT/USDT
2024-03-09,10.643,10.953,10.41,10.496,682896.07107014,gate,DOT/USDT
2024-03-10,10.496,10.571,9.968,10.259,666006.14841329,gate,DOT/USDT
2024-03-11,10.263,11.244,9.79,11.037,1462177.51696935,gate,DOT/USDT
2024-03-12,11.047,11.148,10.066,10.737,1029965.005284,gate,DOT/USDT
2024-03-13,10.738,11.394,10.639,11.368,1096567.896,gate,DOT/USDT
2024-03-14,11.372,11.884,10.68,11.557,2112385.69262175,gate,DOT/USDT
2024-03-15,11.561,11.711,9.983,10.813,2173150.02821819,gate,DOT/USDT
2024-03-16,10.818,10.9,9.5,9.685,985749.66168434,gate,DOT/USDT
2024-03-17,9.682,10.252,9.195,10.077,718956.74601953,gate,DOT/USDT
2024-03-18,10.083,10.451,9.604,9.894,924965.00244999,gate,DOT/USDT
2024-03-19,9.898,9.995,8.603,8.782,1181011.80694035,gate,DOT/USDT
2024-03-20,8.764,9.568,8.488,9.488,1330445.36391158,gate,DOT/USDT
2024-03-21,9.483,9.582,9.067,9.177,699844.7725858,gate,DOT/USDT
2024-03-22,9.179,9.366,8.695,8.935,834735.29339353,gate,DOT/USDT
2024-03-23,8.939,9.223,8.855,8.969,367941.99665943,gate,DOT/USDT
2024-03-24,8.969,9.429,8.957,9.369,374320.27436254,gate,DOT/USDT
2024-03-25,9.372,9.83,9.287,9.735,558987.82495926,gate,DOT/USDT
2024-03-26,9.736,10.058,9.526,9.684,690395.66564176,gate,DOT/USDT
2024-03-27,9.687,9.812,9.311,9.448,821871.22595363,gate,DOT/USDT
2024-03-28,9.45,9.649,9.3,9.52,495549.02682,gate,DOT/USDT
2024-03-29,9.523,9.807,9.342,9.602,744838.5455132,gate,DOT/USDT
2024-03-30,9.602,9.697,9.39,9.432,399425.31281549,gate,DOT/USDT
2024-03-31,9.432,9.645,9.415,9.644,269655.12459016,gate,DOT/USDT
2024-04-01,9.645,9.737,8.925,9.143,1173941.80939289,gate,DOT/USDT
2024-04-02,9.143,9.143,8.375,8.583,900036.41118673,gate,DOT/USDT
2024-04-03,8.585,8.778,8.285,8.416,600805.0244708,gate,DOT/USDT
2024-04-04,8.416,8.712,8.263,8.49,691203.79016618,gate,DOT/USDT
2024-04-05,8.491,8.509,8.079,8.381,437227.75113726,gate,DOT/USDT
2024-04-06,8.38,8.555,8.334,8.491,191103.61,gate,DOT/USDT
2024-04-07,8.493,8.738,8.463,8.707,323171.994033,gate,DOT/USDT
2024-04-08,8.708,9.091,8.573,9.045,729968.54273702,gate,DOT/USDT
2024-04-09,9.043,9.109,8.631,8.654,661518.158451,gate,DOT/USDT
2024-04-10,8.654,8.696,8.13,8.408,639740.932494,gate,DOT/USDT
2024-04-11,8.409,8.526,8.179,8.378,433923.66219851,gate,DOT/USDT
2024-04-12,8.38,8.489,6.498,7.244,2404549.08083522,gate,DOT/USDT
2024-04-13,7.242,7.331,5.681,6.391,4177524.10380274,gate,DOT/USDT
2024-04-14,6.392,6.928,6.193,6.858,2514165.74014255,gate,DOT/USDT
2024-04-15,6.858,7.208,6.44,6.711,1225037.18776877,gate,DOT/USDT
2024-04-16,6.711,6.821,6.372,6.703,994696.944622,gate,DOT/USDT
2024-04-17,6.703,6.781,6.327,6.58,743620.40082353,gate,DOT/USDT
2024-04-18,6.579,6.83,6.447,6.783,594684.0,gate,DOT/USDT
2024-04-19,6.784,6.917,6.275,6.681,1000151.87556589,gate,DOT/USDT
2024-04-20,6.682,7.281,6.61,7.241,285288.92,gate,DOT/USDT
2024-04-21,7.244,7.29,6.964,7.138,277463.911177,gate,DOT/USDT
2024-04-22,7.138,7.584,7.089,7.466,470557.032642,gate,DOT/USDT
2024-04-23,7.466,7.543,7.209,7.244,428714.322699,gate,DOT/USDT
2024-04-24,7.245,7.501,6.86,6.927,572085.2997956,gate,DOT/USDT
2024-04-25,6.934,7.002,6.704,6.86,323376.5,gate,DOT/USDT
2024-04-26,6.86,6.952,6.716,6.763,268412.500532,gate,DOT/USDT
2024-04-27,6.766,6.867,6.505,6.807,341064.657018,gate,DOT/USDT
2024-04-28,6.809,6.951,6.69,6.728,218557.264786,gate,DOT/USDT
2024-04-29,6.729,6.825,6.472,6.585,349983.479713,gate,DOT/USDT
2024-04-30,6.588,6.668,6.043,6.424,933845.6320024,gate,DOT/USDT
2024-05-01,6.423,6.932,6.131,6.896,2047312.03220888,gate,DOT/USDT
2024-05-02,6.899,7.41,6.696,7.275,1015202.00711002,gate,DOT/USDT
2024-05-03,7.273,7.384,7.004,7.246,491399.67,gate,DOT/USDT
2024-05-04,7.248,7.253,7.111,7.123,277851.49,gate,DOT/USDT
2024-05-05,7.124,7.403,7.01,7.303,368265.382826,gate,DOT/USDT
2024-05-06,7.304,7.474,7.062,7.117,585842.76728125,gate,DOT/USDT
2024-05-07,7.118,7.294,6.983,6.992,399822.33,gate,DOT/USDT
2024-05-08,6.99,7.189,6.894,6.984,574406.6197739,gate,DOT/USDT
2024-05-09,6.984,7.09,6.787,7.05,374451.274916,gate,DOT/USDT
2024-05-10,7.05,7.149,6.687,6.745,561973.540461,gate,DOT/USDT
2024-05-11,6.746,6.809,6.636,6.662,224677.69,gate,DOT/USDT
2024-05-12,6.661,6.79,6.591,6.618,139749.3,gate,DOT/USDT
2024-05-13,6.621,6.823,6.43,6.668,458030.32526241,gate,DOT/USDT
2024-05-14,6.673,6.696,6.471,6.485,290575.230323,gate,DOT/USDT
2024-05-15,6.488,7.03,6.463,6.959,710968.732034,gate,DOT/USDT
2024-05-16,6.958,7.065,6.817,7.032,333415.9643685,gate,DOT/USDT
2024-05-17,7.026,7.298,7.0,7.197,1123056.003593,gate,DOT/USDT
2024-05-18,7.196,7.23,7.066,7.159,406731.86,gate,DOT/USDT
2024-05-19,7.16,7.184,6.891,6.934,417082.54,gate,DOT/USDT
2024-05-20,6.933,7.582,6.854,7.573,825956.674172,gate,DOT/USDT
2024-05-21,7.576,7.667,7.431,7.612,688298.960474,gate,DOT/USDT
2024-05-22,7.611,7.698,7.383,7.466,677719.71912907,gate,DOT/USDT
2024-05-23,7.468,7.603,6.906,7.2,2094382.5124993,gate,DOT/USDT
2024-05-24,7.2,7.382,7.018,7.243,508745.77,gate,DOT/USDT
2024-05-25,7.244,7.439,7.223,7.425,195826.12,gate,DOT/USDT
2024-05-26,7.427,7.638,7.367,7.556,246236.48,gate,DOT/USDT
2024-05-27,7.554,7.775,7.38,7.639,403978.16,gate,DOT/USDT
2024-05-28,7.638,7.663,7.278,7.368,785925.359544,gate,DOT/USDT
2024-05-29,7.369,7.566,7.144,7.177,688391.44,gate,DOT/USDT
2024-05-30,7.176,7.244,6.926,7.0,470878.29,gate,DOT/USDT
2024-05-31,6.999,7.053,6.803,6.983,441115.02,gate,DOT/USDT
2024-06-01,6.988,7.136,6.96,7.066,193478.32,gate,DOT/USDT
2024-06-02,7.065,7.126,6.919,6.993,297455.13,gate,DOT/USDT
2024-06-03,6.992,7.19,6.934,7.01,337981.53,gate,DOT/USDT
2024-06-04,7.013,7.231,6.944,7.183,323335.62,gate,DOT/USDT
2024-06-05,7.182,7.296,7.152,7.251,276860.28,gate,DOT/USDT
2024-06-06,7.252,7.288,7.057,7.143,243020.89,gate,DOT/USDT
2024-06-07,7.144,7.291,6.08,6.66,1172670.32640025,gate,DOT/USDT
2024-06-08,6.658,6.685,6.337,6.386,345282.21,gate,DOT/USDT
2024-06-09,6.382,6.539,6.376,6.53,328242.06,gate,DOT/USDT
2024-06-10,6.531,6.582,6.362,6.508,290634.13,gate,DOT/USDT
2024-06-11,6.507,6.525,6.218,6.375,1497496.1,gate,DOT/USDT
2024-06-12,6.378,6.927,6.272,6.739,1611040.11,gate,DOT/USDT
2024-06-13,6.736,6.741,6.34,6.359,830395.69,gate,DOT/USDT
2024-06-14,6.36,6.488,5.997,6.167,862054.79,gate,DOT/USDT
2024-06-15,6.164,6.259,6.109,6.225,198173.89,gate,DOT/USDT
2024-06-16,6.223,6.424,6.148,6.395,316448.01820568,gate,DOT/USDT
2024-06-17,6.395,6.414,5.997,6.073,761474.05308693,gate,DOT/USDT
2024-06-18,6.071,6.088,5.48,5.771,2097519.19466176,gate,DOT/USDT
2024-06-19,5.771,5.993,5.73,5.798,496729.16,gate,DOT/USDT
2024-06-20,5.799,5.972,5.6,5.642,674384.7,gate,DOT/USDT
2024-06-21,5.639,5.736,5.551,5.608,653155.47,gate,DOT/USDT
2024-06-22,5.609,5.805,5.541,5.75,443703.88,gate,DOT/USDT
2024-06-23,5.751,5.818,5.596,5.652,415689.56,gate,DOT/USDT
2024-06-24,5.651,5.738,5.422,5.727,1187699.6614267,gate,DOT/USDT
2024-06-25,5.728,5.973,5.705,5.841,519106.287808,gate,DOT/USDT
2024-06-26,5.841,5.949,5.758,5.798,619810.56,gate,DOT/USDT
2024-06-27,5.8,6.377,5.709,6.288,2344109.45,gate,DOT/USDT
2024-06-28,6.286,6.44,6.161,6.193,839426.37087411,gate,DOT/USDT
2024-06-29,6.191,6.304,6.065,6.083,293457.99,gate,DOT/USDT
2024-06-30,6.08,6.261,6.022,6.215,621168.07,gate,DOT/USDT
2024-07-01,6.216,6.449,6.197,6.331,918086.57,gate,DOT/USDT
2024-07-02,6.332,6.607,6.317,6.531,1044035.19,gate,DOT/USDT
2024-07-03,6.532,6.544,5.999,6.08,1025246.52,gate,DOT/USDT
2024-07-04,6.08,6.132,5.541,5.557,1160786.016457,gate,DOT/USDT
2024-07-05,5.551,5.918,4.916,5.69,4750604.4246134,gate,DOT/USDT
2024-07-06,5.687,6.309,5.631,6.243,1074538.96,gate,DOT/USDT
2024-07-07,6.244,6.312,5.883,5.911,522255.410499,gate,DOT/USDT
2024-07-08,5.91,6.294,5.697,5.944,1527549.51,gate,DOT/USDT
2024-07-09,5.944,6.185,5.842,6.118,911200.59,gate,DOT/USDT
2024-07-10,6.117,6.26,6.052,6.099,706208.37,gate,DOT/USDT
2024-07-11,6.097,6.247,5.897,5.904,487570.28,gate,DOT/USDT
2024-07-12,5.904,6.102,5.805,6.101,389743.38,gate,DOT/USDT
2024-07-13,6.102,6.303,6.075,6.232,357051.891,gate,DOT/USDT
2024-07-14,6.233,6.355,6.16,6.32,396598.95,gate,DOT/USDT
2024-07-15,6.318,6.537,6.297,6.486,748235.83,gate,DOT/USDT
2024-07-16,6.488,6.512,6.126,6.336,748557.83238682,gate,DOT/USDT
2024-07-17,6.337,6.535,6.251,6.256,517562.28,gate,DOT/USDT
2024-07-18,6.256,6.407,6.023,6.094,570388.91,gate,DOT/USDT
2024-07-19,6.094,6.348,5.978,6.338,565641.24,gate,DOT/USDT
2024-07-20,6.339,6.397,6.224,6.33,318375.3,gate,DOT/USDT
2024-07-21,6.332,6.445,6.107,6.433,313016.66,gate,DOT/USDT
2024-07-22,6.434,6.476,6.085,6.099,272771.58,gate,DOT/USDT
2024-07-23,6.099,6.164,5.811,5.914,413733.9,gate,DOT/USDT
2024-07-24,5.916,5.998,5.66,5.748,393672.221,gate,DOT/USDT
2024-07-25,5.747,5.778,5.544,5.758,825789.64,gate,DOT/USDT
2024-07-26,5.757,5.892,5.731,5.873,364662.42,gate,DOT/USDT
2024-07-27,5.87,5.944,5.719,5.827,322110.96,gate,DOT/USDT
2024-07-28,5.826,5.845,5.675,5.728,141933.86,gate,DOT/USDT
2024-07-29,5.721,5.877,5.627,5.649,274263.37180484,gate,DOT/USDT
2024-07-30,5.651,5.724,5.485,5.526,315872.08,gate,DOT/USDT
2024-07-31,5.521,5.559,5.338,5.387,412457.0006042,gate,DOT/USDT
2024-08-01,5.391,5.424,5.027,5.341,819842.4292986,gate,DOT/USDT
2024-08-02,5.341,5.369,5.001,5.121,1148435.96278153,gate,DOT/USDT
2024-08-03,5.121,5.207,4.856,5.047,628678.35489135,gate,DOT/USDT
2024-08-04,5.046,5.1,4.538,4.686,1294833.84868131,gate,DOT/USDT
2024-08-05,4.689,4.723,3.59,4.201,18380514.75287111,gate,DOT/USDT
2024-08-06,4.2,4.602,4.195,4.509,2352973.87618929,gate,DOT/USDT
2024-08-07,4.508,4.641,4.401,4.579,1268324.2805743,gate,DOT/USDT
2024-08-08,4.579,4.903,4.482,4.88,789462.878995,gate,DOT/USDT
2024-08-09,4.878,4.923,4.731,4.782,440075.98,gate,DOT/USDT
2024-08-10,4.781,4.83,4.724,4.754,160451.62,gate,DOT/USDT
2024-08-11,4.754,4.826,4.469,4.496,207318.24,gate,DOT/USDT
2024-08-12,4.496,4.678,4.453,4.585,538054.42,gate,DOT/USDT
2024-08-13,4.586,4.615,4.399,4.547,299112.07,gate,DOT/USDT
2024-08-14,4.547,4.555,4.351,4.385,483764.38,gate,DOT/USDT
2024-08-15,4.385,4.481,4.228,4.28,589200.17,gate,DOT/USDT
2024-08-16,4.279,4.385,4.212,4.291,399077.77,gate,DOT/USDT
2024-08-17,4.292,4.383,4.275,4.364,85389.12,gate,DOT/USDT
2024-08-18,4.369,4.527,4.349,4.389,533816.34,gate,DOT/USDT
2024-08-19,4.391,4.503,4.346,4.48,481320.35,gate,DOT/USDT
2024-08-20,4.481,4.602,4.455,4.522,343526.63,gate,DOT/USDT
2024-08-21,4.522,4.748,4.493,4.664,366121.55,gate,DOT/USDT
2024-08-22,4.664,4.714,4.596,4.692,225979.02,gate,DOT/USDT
2024-08-23,4.691,4.951,4.685,4.889,699782.76,gate,DOT/USDT
2024-08-24,4.893,5.099,4.846,4.985,519445.86,gate,DOT/USDT
