date,open,high,low,close,volume,source,symbol
2024-01-01,72.83,74.77,72.07,74.7,22641.80526967,gate,LTC/USDT
2024-01-02,74.72,75.89,72.54,72.97,52737.66317897,gate,LTC/USDT
2024-01-03,72.97,73.61,56.8,65.21,164038.70866991,gate,LTC/USDT
2024-01-04,65.24,67.08,64.5,66.41,49391.16828165,gate,LTC/USDT
2024-01-05,66.43,66.7,63.26,65.99,100493.14689721,gate,LTC/USDT
2024-01-06,66.0,66.06,63.23,65.64,42017.4605282,gate,LTC/USDT
2024-01-07,65.64,66.36,63.69,64.26,30926.68662257,gate,LTC/USDT
2024-01-08,64.26,68.37,61.0,67.73,102904.94482657,gate,LTC/USDT
2024-01-09,67.74,67.8,64.15,66.99,104592.92635757,gate,LTC/USDT
2024-01-10,66.98,71.23,65.03,70.09,125897.4016029,gate,LTC/USDT
2024-01-11,70.1,74.6,69.58,71.93,137653.09759495,gate,LTC/USDT
2024-01-12,71.89,77.17,70.41,72.97,208354.2778882,gate,LTC/USDT
2024-01-13,72.99,73.59,70.99,72.0,62365.58962246,gate,LTC/USDT
2024-01-14,72.0,72.3,69.47,69.75,47593.20427461,gate,LTC/USDT
2024-01-15,69.83,71.58,68.79,69.14,35141.86728587,gate,LTC/USDT
2024-01-16,69.13,70.61,68.39,69.46,42332.14488775,gate,LTC/USDT
2024-01-17,69.45,69.98,68.36,69.46,27682.89717375,gate,LTC/USDT
2024-01-18,69.46,70.32,66.19,68.09,60613.4961654,gate,LTC/USDT
2024-01-19,68.13,71.55,66.97,71.25,70503.81846462,gate,LTC/USDT
2024-01-20,71.29,72.74,70.47,71.34,45499.72384078,gate,LTC/USDT
2024-01-21,71.35,72.29,70.52,71.74,23022.98780943,gate,LTC/USDT
2024-01-22,71.74,72.7,66.68,67.36,101723.70250064,gate,LTC/USDT
2024-01-23,67.39,68.4,63.18,65.5,82291.24387889,gate,LTC/USDT
2024-01-24,65.51,66.33,64.88,66.12,24920.37900279,gate,LTC/USDT
2024-01-25,66.13,66.13,64.59,65.47,18214.896681,gate,LTC/USDT
2024-01-26,65.51,67.55,65.21,67.03,30229.69550893,gate,LTC/USDT
2024-01-27,67.03,68.31,66.35,68.06,18080.49619935,gate,LTC/USDT
2024-01-28,68.06,68.47,67.3,68.35,23592.5939217,gate,LTC/USDT
2024-01-29,68.36,68.78,66.83,68.44,25741.67312122,gate,LTC/USDT
2024-01-30,68.42,68.71,67.18,67.53,18778.3819233,gate,LTC/USDT
2024-01-31,67.48,70.04,66.14,66.78,49051.86016757,gate,LTC/USDT
2024-02-01,66.78,68.12,65.73,67.52,25025.22990898,gate,LTC/USDT
2024-02-02,67.56,68.41,67.35,68.01,18636.1579715,gate,LTC/USDT
2024-02-03,68.03,69.18,67.89,68.78,20866.16829997,gate,LTC/USDT
2024-02-04,68.82,68.86,66.46,66.95,18982.93743241,gate,LTC/USDT
2024-02-05,66.95,68.22,66.59,67.68,32387.87918726,gate,LTC/USDT
2024-02-06,67.69,68.78,67.53,68.29,30826.58018024,gate,LTC/USDT
2024-02-07,68.3,68.79,67.75,68.6,29618.86382461,gate,LTC/USDT
2024-02-08,68.62,70.64,68.37,70.54,36690.19666926,gate,LTC/USDT
2024-02-09,70.53,71.92,70.11,70.64,63195.06775939,gate,LTC/USDT
2024-02-10,70.64,71.15,69.93,70.79,26047.29487827,gate,LTC/USDT
2024-02-11,70.79,73.07,70.66,71.52,46006.19221488,gate,LTC/USDT
2024-02-12,71.53,73.43,70.32,72.83,42659.03730626,gate,LTC/USDT
2024-02-13,72.81,73.14,68.12,68.95,59480.07563386,gate,LTC/USDT
2024-02-14,68.95,70.76,68.44,69.82,54608.12022001,gate,LTC/USDT
2024-02-15,69.83,70.9,69.0,69.73,47942.67240155,gate,LTC/USDT
2024-02-16,69.74,70.96,68.76,70.55,29391.54862123,gate,LTC/USDT
2024-02-17,70.58,70.68,68.05,69.96,17540.59902154,gate,LTC/USDT
2024-02-18,69.96,71.32,69.81,70.78,21425.65599219,gate,LTC/USDT
2024-02-19,70.79,71.7,70.39,71.3,29339.64976396,gate,LTC/USDT
2024-02-20,71.31,71.46,67.47,69.65,52680.96571662,gate,LTC/USDT
2024-02-21,69.66,69.68,67.34,68.92,38999.74221835,gate,LTC/USDT
2024-02-22,68.91,69.81,67.92,68.8,37953.14394623,gate,LTC/USDT
2024-02-23,68.79,69.08,67.5,68.78,27838.08261306,gate,LTC/USDT
2024-02-24,68.8,70.64,68.64,70.41,30105.29465759,gate,LTC/USDT
2024-02-25,70.42,70.57,69.75,70.15,21215.94494157,gate,LTC/USDT
2024-02-26,70.18,72.98,69.1,71.92,58437.39944508,gate,LTC/USDT
2024-02-27,71.94,76.34,71.92,73.97,114097.77950681,gate,LTC/USDT
2024-02-28,73.97,77.93,70.26,74.49,177938.74250397,gate,LTC/USDT
2024-02-29,74.5,84.94,73.9,79.9,205426.43458905,gate,LTC/USDT
2024-03-01,79.94,86.15,79.94,84.85,94074.04874381,gate,LTC/USDT
2024-03-02,84.88,94.52,84.46,94.51,174252.74021898,gate,LTC/USDT
2024-03-03,94.48,94.7,83.52,90.67,135697.68632153,gate,LTC/USDT
2024-03-04,90.69,92.66,87.51,88.94,154249.18134574,gate,LTC/USDT
2024-03-05,88.91,91.81,71.22,82.01,325695.26360326,gate,LTC/USDT
2024-03-06,81.95,87.44,79.8,85.86,114593.58727344,gate,LTC/USDT
2024-03-07,85.86,89.6,83.41,88.0,99065.12795375,gate,LTC/USDT
2024-03-08,88.02,89.48,84.0,88.33,129254.27373912,gate,LTC/USDT
2024-03-09,88.34,90.95,86.75,90.68,80825.99517227,gate,LTC/USDT
2024-03-10,90.69,90.79,85.37,87.43,59247.05497455,gate,LTC/USDT
2024-03-11,87.42,105.63,83.26,103.83,279361.13414437,gate,LTC/USDT
2024-03-12,103.87,104.21,91.81,97.53,233184.65345834,gate,LTC/USDT
2024-03-13,97.55,98.97,94.07,97.24,89075.48918563,gate,LTC/USDT
2024-03-14,97.24,98.22,89.56,94.08,180575.66238919,gate,LTC/USDT
2024-03-15,94.07,95.36,83.38,89.74,177718.08598353,gate,LTC/USDT
2024-03-16,89.78,90.75,82.29,84.15,108403.16039573,gate,LTC/USDT
2024-03-17,84.11,86.78,80.69,85.89,99925.16288549,gate,LTC/USDT
2024-03-18,85.93,88.01,80.78,86.73,76484.76406802,gate,LTC/USDT
2024-03-19,86.75,87.77,77.16,78.47,174304.22503136,gate,LTC/USDT
2024-03-20,78.44,85.27,76.99,84.69,152378.42472547,gate,LTC/USDT
2024-03-21,84.66,87.0,83.6,85.74,89145.49385064,gate,LTC/USDT
2024-03-22,85.75,86.2,80.61,83.41,70330.99137779,gate,LTC/USDT
2024-03-23,83.42,87.47,82.85,85.26,88838.4534582,gate,LTC/USDT
2024-03-24,85.27,90.86,85.27,89.61,142421.51471881,gate,LTC/USDT
2024-03-25,89.67,92.07,88.51,90.57,147665.40110615,gate,LTC/USDT
2024-03-26,90.56,97.03,87.53,95.78,321903.41092483,gate,LTC/USDT
2024-03-27,95.78,98.92,92.37,93.56,361681.39172398,gate,LTC/USDT
2024-03-28,93.57,96.59,93.4,94.09,216800.14064753,gate,LTC/USDT
2024-03-29,94.12,110.4,92.79,108.97,612449.57861185,gate,LTC/USDT
2024-03-30,109.02,109.22,101.09,102.83,211411.29965108,gate,LTC/USDT
2024-03-31,102.85,106.75,101.42,105.04,113823.4498325,gate,LTC/USDT
2024-04-01,105.05,112.77,97.27,99.21,480443.60513022,gate,LTC/USDT
2024-04-02,99.22,108.96,93.12,106.75,545013.37611785,gate,LTC/USDT
2024-04-03,106.76,109.8,96.53,98.33,271906.44283992,gate,LTC/USDT
2024-04-04,98.32,104.28,96.23,98.43,283797.32442914,gate,LTC/USDT
2024-04-05,98.44,100.25,95.1,97.86,202716.85323031,gate,LTC/USDT
