date,open,high,low,close,volume,source,symbol
2024-01-01,101.76,109.96,101.44,109.96,195227.37433173,gate,SOL/USDT
2024-01-02,109.98,116.93,106.01,106.73,321586.55120501,gate,SOL/USDT
2024-01-03,106.75,109.89,85.0,98.5,510687.20028228,gate,SOL/USDT
2024-01-04,98.5,108.12,96.65,104.9,261927.55517279,gate,SOL/USDT
2024-01-05,104.94,105.46,95.17,99.92,287468.00321232,gate,SOL/USDT
2024-01-06,99.93,100.27,91.56,93.77,244751.30258774,gate,SOL/USDT
2024-01-07,93.8,96.76,87.65,89.41,253598.43254938,gate,SOL/USDT
2024-01-08,89.46,99.93,85.14,97.9,390992.98281877,gate,SOL/USDT
2024-01-09,97.89,105.67,95.2,99.35,361116.7343731,gate,SOL/USDT
2024-01-10,99.36,105.51,92.0,102.02,371597.4409692,gate,SOL/USDT
2024-01-11,102.01,107.17,97.6,99.91,405157.13772727,gate,SOL/USDT
2024-01-12,99.9,100.49,86.32,92.1,260897.40855858,gate,SOL/USDT
2024-01-13,92.11,97.08,89.49,95.83,163213.44116647,gate,SOL/USDT
2024-01-14,95.85,102.86,93.55,93.8,235726.53183683,gate,SOL/USDT
2024-01-15,93.81,96.96,93.04,94.4,149000.07891301,gate,SOL/USDT
2024-01-16,94.36,98.72,94.18,97.59,152620.09252669,gate,SOL/USDT
2024-01-17,97.62,102.82,96.62,102.11,286008.87607416,gate,SOL/USDT
2024-01-18,102.11,103.63,91.42,94.4,230084.77237194,gate,SOL/USDT
2024-01-19,94.43,95.47,87.03,93.62,236946.03200374,gate,SOL/USDT
2024-01-20,93.6,94.24,90.2,92.89,105600.23290241,gate,SOL/USDT
2024-01-21,92.89,93.93,90.82,91.1,84214.62531972,gate,SOL/USDT
2024-01-22,91.1,91.87,82.07,83.83,286179.32833281,gate,SOL/USDT
2024-01-23,83.84,85.96,79.0,84.34,310734.66894426,gate,SOL/USDT
2024-01-24,84.36,89.44,83.31,88.76,196985.72232461,gate,SOL/USDT
2024-01-25,88.76,89.62,85.09,86.92,131596.85462204,gate,SOL/USDT
2024-01-26,86.91,93.73,86.0,92.24,162194.59307377,gate,SOL/USDT
2024-01-27,92.28,94.49,90.7,94.29,76603.81646717,gate,SOL/USDT
2024-01-28,94.3,99.43,93.29,95.97,163253.00349967,gate,SOL/USDT
2024-01-29,95.99,101.98,95.08,101.66,161368.85937051,gate,SOL/USDT
2024-01-30,101.67,106.45,100.99,101.4,185377.99590859,gate,SOL/USDT
2024-01-31,101.39,102.74,95.91,96.96,253469.27888143,gate,SOL/USDT
2024-02-01,96.96,98.13,93.12,97.82,180054.61632456,gate,SOL/USDT
2024-02-02,97.83,102.53,97.4,100.55,151108.29083187,gate,SOL/USDT
2024-02-03,100.59,101.21,96.63,97.95,65402.04270979,gate,SOL/USDT
2024-02-04,97.96,98.58,95.07,95.45,62941.97766341,gate,SOL/USDT
2024-02-05,95.48,98.7,94.18,95.65,91531.07224057,gate,SOL/USDT
2024-02-06,95.65,97.89,93.01,96.85,103716.84826784,gate,SOL/USDT
2024-02-07,96.89,101.56,94.65,101.13,84011.712686,gate,SOL/USDT
2024-02-08,101.15,104.94,100.53,102.76,122176.5945432,gate,SOL/USDT
