date,open,high,low,close,volume,source,symbol
2024-01-01,0.61572,0.6308,0.60839,0.62947,9268820.88206502,gate,XRP/USDT
2024-01-02,0.62944,0.64008,0.62154,0.62429,20208732.84706613,gate,XRP/USDT
2024-01-03,0.62444,0.63922,0.49,0.58216,75856998.19380116,gate,XRP/USDT
2024-01-04,0.5822,0.59371,0.56944,0.5868,20335783.96627901,gate,XRP/USDT
2024-01-05,0.58683,0.58853,0.554,0.57582,27688854.62389969,gate,XRP/USDT
2024-01-06,0.57581,0.57583,0.55688,0.56792,10024711.42391064,gate,XRP/USDT
2024-01-07,0.56793,0.57316,0.5458,0.55149,14605918.13663707,gate,XRP/USDT
2024-01-08,0.55153,0.58201,0.54442,0.57756,47540580.8436059,gate,XRP/USDT
2024-01-09,0.57764,0.57931,0.55244,0.56694,35904071.42199831,gate,XRP/USDT
2024-01-10,0.56708,0.6145,0.54865,0.60062,43853873.21275552,gate,XRP/USDT
2024-01-11,0.60081,0.62392,0.58571,0.60197,33065322.72588531,gate,XRP/USDT
2024-01-12,0.60181,0.60338,0.55143,0.56987,25521283.31200853,gate,XRP/USDT
2024-01-13,0.56987,0.57753,0.56302,0.57474,8906636.44585683,gate,XRP/USDT
2024-01-14,0.57478,0.59312,0.57177,0.57631,13208802.4770252,gate,XRP/USDT
2024-01-15,0.5764,0.58935,0.56879,0.57574,11794214.55247094,gate,XRP/USDT
2024-01-16,0.57573,0.5797,0.56617,0.57574,11137635.51311596,gate,XRP/USDT
2024-01-17,0.57575,0.5762,0.56145,0.56859,13845343.45356469,gate,XRP/USDT
2024-01-18,0.5686,0.56902,0.54284,0.55186,16033375.83022033,gate,XRP/USDT
2024-01-19,0.55216,0.5537,0.52194,0.54425,27568989.47781914,gate,XRP/USDT
2024-01-20,0.54431,0.55499,0.53905,0.55343,14154993.91499757,gate,XRP/USDT
2024-01-21,0.55336,0.5552,0.54555,0.54648,7609345.27939276,gate,XRP/USDT
2024-01-22,0.54653,0.5496,0.5178,0.52727,22477878.23352638,gate,XRP/USDT
2024-01-23,0.52759,0.53166,0.49637,0.51827,28717088.81643176,gate,XRP/USDT
2024-01-24,0.51829,0.51931,0.51111,0.51818,13485202.04582832,gate,XRP/USDT
2024-01-25,0.51816,0.51818,0.5039,0.51377,11625534.57485706,gate,XRP/USDT
2024-01-26,0.51389,0.53684,0.50846,0.53215,16356367.0984127,gate,XRP/USDT
2024-01-27,0.53224,0.53476,0.52629,0.53023,8536479.51308881,gate,XRP/USDT
2024-01-28,0.53029,0.53538,0.52102,0.52409,9178781.07646811,gate,XRP/USDT
2024-01-29,0.5241,0.53987,0.51948,0.53522,14508693.42373618,gate,XRP/USDT
2024-01-30,0.5352,0.53917,0.50717,0.51084,33217255.01356845,gate,XRP/USDT
2024-01-31,0.51073,0.51445,0.48538,0.50335,33674072.79560654,gate,XRP/USDT
2024-02-01,0.50327,0.51061,0.49011,0.50585,20462335.00137569,gate,XRP/USDT
2024-02-02,0.50583,0.51409,0.49876,0.51066,15574948.53084832,gate,XRP/USDT
2024-02-03,0.51053,0.52682,0.50609,0.51883,20772783.51963586,gate,XRP/USDT
2024-02-04,0.51869,0.51916,0.50048,0.50314,12963864.14359272,gate,XRP/USDT
2024-02-05,0.50316,0.51419,0.49685,0.50679,19384870.38204563,gate,XRP/USDT
2024-02-06,0.50679,0.51103,0.49797,0.50508,16645960.6575296,gate,XRP/USDT
2024-02-07,0.50509,0.51544,0.49942,0.51375,18208607.09465119,gate,XRP/USDT
2024-02-08,0.51376,0.51938,0.51026,0.51463,18908086.78706959,gate,XRP/USDT
2024-02-09,0.51464,0.52811,0.51405,0.52597,19015179.87751899,gate,XRP/USDT
2024-02-10,0.52609,0.52799,0.51861,0.52381,11076074.11206774,gate,XRP/USDT
2024-02-11,0.52397,0.53594,0.52172,0.5261,18452648.20898902,gate,XRP/USDT
