symbol,date,open,high,close,low,volume (10K shares)
AAPL.O,2024-01-02,185.5788,186.8580,184.0815,182.3412,"8,248.8674"
AAPL.O,2024-01-03,182.6734,184.3195,182.7032,181.8901,"5,841.4460"
AAPL.O,2024-01-04,180.6208,181.5499,180.3828,179.3615,"7,198.3570"
AAPL.O,2024-01-05,180.4621,181.2257,179.6589,178.6574,"6,237.9661"
AAPL.O,2024-01-08,180.5564,184.0418,184.0022,179.9763,"5,914.4470"
AAPL.O,2024-01-09,182.3759,183.5956,183.5857,181.1959,"4,284.1809"
AAPL.O,2024-01-10,182.8023,184.8351,184.6269,182.3759,"4,679.2908"
AAPL.O,2024-01-11,184.9739,185.4797,184.0319,182.0785,"4,912.8408"
AAPL.O,2024-01-12,184.4980,185.1723,184.3592,183.6353,"4,047.7782"
AAPL.O,2024-01-16,180.6307,182.7131,182.0884,179.4150,"6,560.3041"
AAPL.O,2024-01-17,179.7482,181.3943,181.1464,178.7863,"4,731.7433"
AAPL.O,2024-01-18,184.5277,187.5521,187.0464,184.2699,"7,800.5754"
AAPL.O,2024-01-19,187.7405,190.3385,189.9518,187.2348,"6,890.2985"
AAPL.O,2024-01-22,190.6856,193.6902,192.2622,190.6459,"6,013.3852"
AAPL.O,2024-01-23,193.3828,194.1066,193.5414,192.2027,"4,235.5590"
AAPL.O,2024-01-24,193.7794,194.7313,192.8671,192.7085,"5,363.1316"
AAPL.O,2024-01-25,193.5811,194.6203,192.5399,191.4918,"5,482.2126"
AAPL.O,2024-01-26,192.6391,193.1249,190.8046,190.3286,"4,459.4011"
AAPL.O,2024-01-29,190.3980,190.5864,190.1204,187.9884,"4,714.5622"
AAPL.O,2024-01-30,189.3370,190.1898,186.4614,185.8961,"5,585.9370"
AAPL.O,2024-01-31,185.4698,185.5243,182.8519,182.8023,"5,546.7803"
AAPL.O,2024-02-01,182.4404,185.3805,185.2913,182.2768,"6,488.5408"
AAPL.O,2024-02-02,178.3500,185.7573,184.2897,177.7452,"10,255.1680"
AAPL.O,2024-02-05,186.5704,187.6612,186.1044,184.2798,"6,966.8820"
AAPL.O,2024-02-06,185.2913,187.7207,187.7108,185.2020,"4,349.0759"
AAPL.O,2024-02-07,189.0395,189.4461,187.8199,187.0266,"5,343.8955"
AAPL.O,2024-02-08,187.7951,187.9438,186.7390,185.7771,"4,096.2046"
AAPL.O,2024-02-09,187.3049,188.6354,187.5035,186.6596,"4,515.5216"
AAPL.O,2024-02-12,187.0716,187.3248,185.8156,185.4582,"4,178.1934"
AAPL.O,2024-02-13,184.4455,184.8823,183.7207,182.2046,"5,652.9529"
AAPL.O,2024-02-14,183.9987,184.2072,182.8370,181.1392,"5,463.0517"
AAPL.O,2024-02-15,182.2413,183.1746,182.5491,180.0570,"6,543.4496"
AAPL.O,2024-02-16,182.1122,183.5320,181.0101,180.3697,"4,975.2465"
AAPL.O,2024-02-20,180.4939,181.1293,180.2655,178.7166,"5,366.5553"
AAPL.O,2024-02-21,180.6428,181.5850,181.0201,179.3719,"4,152.9674"
AAPL.O,2024-02-22,182.1718,183.6363,183.0555,181.1591,"5,229.2208"
AAPL.O,2024-02-23,183.6909,183.7207,181.2186,180.9307,"4,511.9677"
AAPL.O,2024-02-26,180.9406,181.4569,179.8683,179.3620,"4,086.7421"
AAPL.O,2024-02-27,179.8088,182.6116,181.3279,178.2798,"5,431.8851"
AAPL.O,2024-02-28,181.2087,181.8144,180.1265,178.8457,"4,895.3939"
AAPL.O,2024-02-29,179.9776,181.2683,179.4613,178.2500,"13,668.2600"
AAPL.O,2024-03-01,178.2698,179.2428,178.3790,176.1153,"7,356.3082"
AAPL.O,2024-03-04,174.8941,175.6387,173.8516,172.5509,"8,151.0101"
AAPL.O,2024-03-05,169.5425,170.8134,168.9071,168.4106,"9,513.2355"
AAPL.O,2024-03-06,169.8404,170.0191,167.9142,167.4773,"6,858.7707"
AAPL.O,2024-03-07,167.9440,169.5127,167.7950,167.2887,"7,176.5061"
AAPL.O,2024-03-08,167.7950,172.4615,169.5127,167.7355,"7,626.7041"
AAPL.O,2024-03-11,171.7070,173.1367,171.5183,170.8233,"6,013.9473"
AAPL.O,2024-03-12,171.9155,172.7892,171.9949,169.7907,"5,982.5372"
