date,open,high,low,close,volume,source,symbol
2020-01-02,000568,63.54,62.99,64.14,61.22,akshare,000568.SZ
2020-01-03,000568,63.54,63.33,64.82,62.73,akshare,000568.SZ
2020-01-06,000568,62.55,63.16,64.04,62.13,akshare,000568.SZ
2020-01-07,000568,62.47,63.54,63.99,62.24,akshare,000568.SZ
2020-01-08,000568,62.85,62.39,63.42,62.1,akshare,000568.SZ
2020-01-09,000568,62.94,65.04,66.12,62.14,akshare,000568.SZ
2020-01-10,000568,65.0,68.04,68.98,64.84,akshare,000568.SZ
2020-01-13,000568,68.04,70.57,72.12,67.94,akshare,000568.SZ
2020-01-14,000568,69.94,69.61,70.97,69.04,akshare,000568.SZ
2020-01-15,000568,69.64,69.88,71.79,69.54,akshare,000568.SZ
2020-01-16,000568,69.74,70.19,70.65,69.34,akshare,000568.SZ
2020-01-17,000568,70.54,69.34,71.14,68.87,akshare,000568.SZ
2020-01-20,000568,69.34,68.13,69.84,67.54,akshare,000568.SZ
2020-01-21,000568,67.54,64.8,67.54,64.11,akshare,000568.SZ
2020-01-22,000568,63.43,65.05,65.61,63.15,akshare,000568.SZ
2020-01-23,000568,64.91,60.19,64.91,59.12,akshare,000568.SZ
2020-02-03,000568,51.93,51.93,51.93,51.93,akshare,000568.SZ
2020-02-04,000568,48.54,49.66,53.82,47.42,akshare,000568.SZ
2020-02-05,000568,49.56,49.94,51.54,48.61,akshare,000568.SZ
2020-02-06,000568,49.91,51.43,51.86,49.35,akshare,000568.SZ
2020-02-07,000568,51.05,52.3,52.43,49.79,akshare,000568.SZ
2020-02-10,000568,51.54,51.26,52.04,50.06,akshare,000568.SZ
2020-02-11,000568,51.53,54.94,55.54,51.29,akshare,000568.SZ
2020-02-12,000568,54.94,55.03,55.8,53.67,akshare,000568.SZ
2020-02-13,000568,54.62,55.04,57.34,54.44,akshare,000568.SZ
2020-02-14,000568,55.34,55.26,55.6,54.16,akshare,000568.SZ
2020-02-17,000568,54.74,55.76,55.76,54.42,akshare,000568.SZ
2020-02-18,000568,55.85,55.24,56.01,54.6,akshare,000568.SZ
2020-02-19,000568,54.93,56.57,57.44,54.56,akshare,000568.SZ
2020-02-20,000568,56.44,60.31,60.34,56.44,akshare,000568.SZ
2020-02-21,000568,59.53,60.23,61.24,59.09,akshare,000568.SZ
2020-02-24,000568,60.03,58.65,60.03,57.54,akshare,000568.SZ
2020-02-25,000568,56.82,57.09,57.9,55.34,akshare,000568.SZ
2020-02-26,000568,55.69,56.04,57.89,55.14,akshare,000568.SZ
